,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
TC_TF,-0.7421506250232188,-0.698942298148401,-5.82204277918192,0.11789093750630678,0.12975195884042648,-0.5597745124234974,-0.5736541547426969,2.4795059459046658,0.18461085898370333,0.1633048533143927
TC_DG,-0.7996402575961615,-0.745510178433839,-6.7693039023629975,0.11351840587674909,0.12586448486770555,-0.1406835502323586,-0.15999830333841214,13.729219282675569,0.7430073306575898,0.6987146778829929
TC_TS,-0.9456117138309316,-0.9180565987461905,-2.9139989153801578,0.09827114760594696,0.10622304460739664,-0.05302436690165901,-0.054520139822782566,2.820916134458853,0.9028117007803044,0.8992948993858846
TC_BE,0.026273164418865663,0.05045273189402074,92.03142449712963,0.9639445785745321,0.93053771730402,-0.3315667261819142,-0.3350353591034086,1.046134200930446,0.5504176834754417,0.5449144111529765
TC_RE,-0.004194986054477415,0.029960100951749394,-814.188332515962,0.9931898270372076,0.9506312736357571,-0.04256898322643889,-0.05394958168638451,26.7344850578374,0.9249136987781613,0.9032828330738818
TC_ME,-0.5993741528332769,-0.5542181298598489,-7.5338622394664245,0.35326821474554404,0.38363633746995496,-0.7773734121625139,-0.7930847528734208,2.0210802768775973,0.19524611004245462,0.18223641567652105
TC_EE,-0.3627076984854214,-0.3127706051750911,-13.767861426392487,0.5283380547088663,0.5790793453637326,-0.19842427899586024,-0.21139869334490338,6.538723191890157,0.695656488672695,0.6723144674126706
TC_GR,0.5836126335821603,0.6223910580353392,6.6445484936062025,0.3307585541067398,0.2921181310163976,-0.8285062252143788,-0.8275007543122117,-0.12135948669630124,0.22166236067234513,0.2181298850581046
TC_OT,1.3405092102755984,1.3934911642655208,3.9523752305312136,0.12443406562719377,0.10590162788794674,0.12149402928232152,0.1224465197817866,0.7839813240959626,0.8970017924068694,0.8951439126925946
ForProf,-0.16522510272478708,-0.15227200614166211,-7.839666230803158,0.5346988882627275,0.5647643501579582,-1.0189732138355865,-1.021732210518361,0.2707624347051524,1.8040596916128187e-05,1.595133747608927e-05
awardAmount,0.1853801585009513,0.185947370201024,0.3059721734296583,0.026816173334330066,0.02647782464562228,0.1203716602324524,0.11907077918865351,-1.0807203633203402,0.11264310313747719,0.11545995606182781
dum09,-1.225008417850158,-1.1321155214716585,-7.583041473422919,0.33494571858155986,0.3648235041059017,0.27710752928895493,0.2185615950598998,-21.127514787952993,0.792358692434644,0.8314524931603827
dum10,-0.6239901689300152,-0.6240369081564096,0.007490378650429054,0.2075620288439829,0.20800389904330918,0.754409941577053,0.7495740801014569,-0.6410124269421754,0.0851363175825208,0.08633415797889636
dum11,-48.801545882891574,-43.36615854899095,-11.13773597857709,0.999999997682207,0.9999999687290843,0.7020405580900925,0.7058101368739952,0.5369460126574295,0.24675193541984097,0.24391636233444935
dum12,-0.00952385866903964,-0.04385734693980194,360.4997665743858,0.9849779519269788,0.9298806841646352,0.9890913198698806,0.999289245731584,1.0310398703170198,0.03376003230137202,0.029540822409732062
dum13,-0.37194963683614773,-0.3097654144842271,-16.71845222941142,0.43875529903062227,0.49836726244715446,0.802931213463217,0.7624456137122197,-5.042225170992431,0.06569528629245758,0.06387278411482306
dum14,-0.6393022625792667,-0.682648038353639,6.7801693051255,0.23747580223820408,0.19943195831905192,0.4743583246650551,0.48738605367177096,2.7463898764535712,0.3040399952654873,0.2820637155933584
dum15,0.29197035023381945,0.2811071250341454,-3.720660399583178,0.5975002327048362,0.6126238524320311,1.1006437403602267,1.0980842917684264,-0.23254105737817357,0.039010491946452404,0.038681434140921185
dum16,0.5540591989316488,0.6036438160627189,8.949335599279,0.3879369450634871,0.33646302402211015,1.716492413096913,1.6783167907528465,-2.224048417154943,0.0038864140015961468,0.003498017441428076
