Total project count,To-do list,Program,Companies,Status,Recipient Type,Size,Follow-on (Y/N),# Employees,Crunchbase,Pitchbook,Follow-on Funding,,Bloomberg,,Company Type,usaspending,,SBIR,SBIR Link,Start Date,End Date,Parners,Tech Category,Website(s),,,Tagline,Outcome,Comments,,,,,,,Bankruptcy,Acquired,Retired,Never a company,New company founded post arpa-e application,,,Follow-on Funding,Funding Notes
1,0,OPEN 2009,1366 Technologies,ALUMNI,For-profit,Small,Y,50-100,https://www.crunchbase.com/organization/1366-technologies,,"$34,000,000",,,,"Private, Start-Up",https://www.usaspending.gov/#/search/617b89e95e7ae7f183a90780ad698400,"11,800,000.00",0,N/A,3/1/10,6/30/12,1,Distributed Generation,http://1366tech.com/,http://1366tech.com/2019/02/26/1366-technologies-and-hanwha-q-cells-partner-on-worlds-first-factory-to-feature-direct-wafer-manufacturing-process/,,Cost-Effective Silicon Wafers for Solar Cells,Pivot,,,,,,,,,,,,,,,,
1,0,OPEN 2009,Agrivida,ALUMNI,For-profit,Small,Y,<50,https://www.crunchbase.com/organization/agrivida,,"$43,400,000",,43400000,"https://www.prnewswire.com/news-releases/agrivida-completes-initial-close-of-over-20-million-in-series-e-funding-300324527.html, https://www.prnewswire.com/news-releases/agrivida-closes-23-million-in-oversubscribed-series-d-funding-300128820.html","Private, Start-Up",https://www.usaspending.gov/#/search/93f26ecb4fc6fb1b386d9d3735e06c4c,0,0,N/A,1/15/10,3/31/15,0,Transportation Fuels,https://agrivida.com/,https://arpa-e.energy.gov/?q=slick-sheet-project/engineering-enzymes-energy-crops,,Engineering Enzymes in Energy Crops,Pivot,,,,,,,,,,,,,,,,
1,0,OPEN 2009,Algaeventure Systems (AVS),ALUMNI,For-profit,Small,,<50,https://www.crunchbase.com/organization/algaeventure-systems,,$0,,,,"Private, Small",N/A,0,0,N/A,1/15/10,1/31/12,1,Transportation Fuels,Website doesn't work,https://www.bizjournals.com/columbus/news/2012/02/13/algaeventures-makes-move-to.html,https://www.biosortia.com/,Fuel from Algae,Perish,Energy to pharmaceuticals,,,,,,,,,,,,,,,
1,0,OPEN 2009,Arizona State University (ASU),ALUMNI,Non-profit,,,,,,,,,,,https://www.usaspending.gov/#/search/8dcd876e92fa6bcaaf2b50e634a9b71e,0,0,N/A,12/21/09,6/30/12,1,Transportation Storage,https://nantenergy.com/,,,Metal-Air Electric Vehicle Battery,Pivot,"Not EV batteries, mostly off-grid",,,,,,,,,,,,,,,
1,0,OPEN 2009,Arizona State University (ASU),ALUMNI,Non-profit,,,,,,,,,,,https://www.usaspending.gov/#/search/584ae429682d0d5907e9b7da23854201,0,0,NA,1/1/10,6/30/13,1,Transportation Fuels,https://biodesign.asu.edu/rosa-krajmalnik-brown/bioenergy-applications,https://www.osti.gov/servlets/purl/1178659,,Turning Bacteria into Fuel,Pivot,"Some of the project people still doing stuff with the same bacteria, but focusing on growth, no recent publications/other grants on extraction or harvesting this specific type of lauric acid",,,,,,,,,,,,,,,
1,0,OPEN 2009,Bio Architecture Lab,ALUMNI,For-profit,Small,,<50,https://www.crunchbase.com/organization/bio-architecture-lab#section-overview,,$0,All prior to arpa-e,,,,https://www.usaspending.gov/#/search/715397fb4bfeef8107cf2ce4a1ff4581,0,0,N/A,4/30/12,6/30/13,0,Transportation Fuels,Website doesn't work,,,Macroalgae Butanol,Perish,,,,,,,,,,,,,,,,
1,0,OPEN 2009,Ceres,ALUMNI,For-profit,Small,Y,50-100,https://www.crunchbase.com/organization/ceres,,"$88,000,000","$65m IPO, $23 m equity in 2014",,,"Public, IPO After Award",https://www.usaspending.gov/#/search/5291dae7fba45a3111ed2f384c6a14d6,0,0,N/A,1/1/10,12/31/13,0,Transportation Fuels,Website doesn't work,http://hayandforage.com/article-780-land-o'lakes-acquires-ag-biotech-developer-ceres-inc.html,https://www.landolakesinc.com/lolinc/media/Pdf/Press%20Releases/2016/6-17-16.pdf,Improving Biomass Yields,Perish,Acquired by land o' lakes,,,,,,,,1,,,,,,,
1,0,OPEN 2009,Delphi Automotive Systems,ALUMNI,For-profit,Large,Y,10000+,,,"$523,740,000",,Publicly traded,,"Public, IPO After Award",https://www.usaspending.gov/#/search/9cb8fceafeacf197b7b8fc41c418a159,0,0,N/A,2/1/10,12/31/13,1,Electrical Efficiency,https://www.delphi.com/,,,More Efficient Power Conversion for EVs,Persist,,,,,,,,,,,,,,,,
1,0,OPEN 2009,Envia Systems,ALUMNI,For-profit,Small,Y,<50,https://www.crunchbase.com/organization/envia-systems,,"$17,000,000",,17000000,https://www.greentechmedia.com/articles/read/envia-gets-7-million-from-gm-but-does-the-business-model-work,"Private, Start-Up",https://www.usaspending.gov/#/search/3465ceef232f175ca6538ea130225bbe,"1,564,067",0,N/A,1/1/10,12/31/11,1,Transportation Storage,Website doesn't work,https://www2.greencarreports.com/news/1089261_collapse-of-battery-startup-envia-what-really-happened,,Long-Range Electric Vehicle Batteries,Perish,,,,,,,,,,,,,,,,
1,0,OPEN 2009,Exelus,ALUMNI,For-profit,,,,,,,,,,,https://www.usaspending.gov/#/search/b9b396d24a95437f6f7c85dd8e56db5d,0,,https://www.sbir.gov/sbirsearch/detail/162269,12/1/09,5/31/12,0,Transportation Fuels,http://www.exelusinc.com/,https://investors.kbr.com/investors/press-releases/Press-Release-Details/2015/KBR-and-EXELUS-Sign-Technology-Licensing-Agreement/default.aspx,,High-Octane Fuel from Refinery Exhaust Gas,Persist,They licensed the technology to KBR,,,,,,,,,,,,,,,
