Total project count,To-do list,Program,Program FOA,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Comments,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,1366 Technologies,ALUMNI,For-profit,3/1/2010,6/30/2012,Distributed Generation,http://1366tech.com/,http://1366tech.com/2019/02/26/1366-technologies-and-hanwha-q-cells-partner-on-worlds-first-factory-to-feature-direct-wafer-manufacturing-process/,,Cost-Effective Silicon Wafers for Solar Cells,Pivot,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,FloDesign Wind Turbine,ALUMNI,For-profit,2/22/2010,3/31/2013,Distributed Generation,Website doesn't work,https://www.bostonglobe.com/business/2017/05/05/deer-island-odd-looking-turbine-testament-failure/GJAe7yEYz1or8QGO07M95O/story.html,,Mixer-Ejector Wind Turbine,Perish,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Makani Power,ALUMNI,For-profit,9/1/2010,10/16/2013,Distributed Generation,https://makanipower.com/,,,Airborne Wind Turbine,Persist,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Michigan State University (MSU),ALUMNI,Non-profit,1/14/2010,9/30/2013,Distributed Generation,https://scholar.google.com/citations?hl=en&user=9vENwLIAAAAJ&view_op=list_works&sortby=pubdate#d=gs_md_cita-d&u=%2Fcitations%3Fview_op%3Dview_citation%26hl%3Den%26user%3D9vENwLIAAAAJ%26cstart%3D20%26pagesize%3D80%26sortby%3Dpubdate%26citation_for_view%3D9vENwLIAAAAJ%3Ak_IJM867U9cC%26tzom%3D240,https://en.wikipedia.org/wiki/Wave_disk_engine#cite_note-8,,Shockwave Engine,Perish,? Hasn't published anything on it since 2013. NSF i-Corps and then blank so assuming perish,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Teledyne Scientific & Imaging,ALUMNI,For-profit,10/1/2010,4/19/2013,Distributed Generation,http://www.teledyne-si.com/business-units/teledyne-scientific-company,,,Efficient Solar Concentrators,Perish,Not listed on their website,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,University of Delaware (UD),ALUMNI,Non-profit,2/15/2012,12/31/2014,Distributed Generation,http://yan.cbe.udel.edu/research.php,,,Affordable Hydrogen Fuel Cell Vehicles,Perish,"Pivot to flow batteries OPEN 2012, so fuel cell perish?",,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Kohana Technologies,CANCELLED,For-profit,3/8/2013,10/1/2017,Distributed Generation,http://www.kohanatech.com/,https://arc.aiaa.org/doi/abs/10.2514/6.2018-3825,,Dynamically Adjustable Wind Turbine Blades,Persist,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Brown University,ALUMNI,Non-profit,3/20/2013,5/31/2017,Distributed Generation,https://sites.google.com/a/brown.edu/this-be-a-lab/research,https://arpa-e.energy.gov/sites/default/files/documents/files/Brown_OPEN2012_ExternalProjectImpactSheet_01272017_FINAL.pdf,,Customized Tidal Power Conversion Devices,Persist,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,California Institute of Technology (Caltech),ALUMNI,Non-profit,3/28/2013,9/27/2016,Distributed Generation,https://daedalus.caltech.edu/,https://www.spectrolab.com/photovoltaics.html,https://daedalus.caltech.edu/files/2018/12/The-Polyhedral-Specular-Reflector.pdf,Improving Solar Generation Efficiency with Solar Modules,Persist,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,4/17/2013,10/17/2016,Distributed Generation,https://industry.gatech.edu/technology/thermophotovoltaics-storage,http://meche.mit.edu/people/faculty/ase@mit.edu,,High-Efficiency Solar Fuel Reactor,Persist,,,,,,,,,
