Total project count,To-do list,Program,Program Targets/Solicitation,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,,Comments,,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,General Motors (GM),ALUMNI,For-profit,1/1/10,3/31/12,Resource Efficiency,http://gmauthority.com/blog/2015/04/2016-chevrolet-malibu-hybrid-exhaust-gas-heat-recovery-feature-spotlight/,,,Waste Heat Recovery System,Pivot,,"different application, but may still also be Persisting",,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,ITN Energy Systems,ALUMNI,For-profit,1/1/10,6/30/13,Building Efficiency,http://www.itnes.com/,,,Electrochromic Film for More Efficient Windows,Persist,,https://www.energy.gov/eere/buildings/downloads/low-cost-highly-transparent-flexible-low-emission-coating-film-enable,,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Lehigh University,ALUMNI,Non-profit,1/1/10,6/30/12,Resource Efficiency,https://pubs.acs.org/doi/pdf/10.1021/acsami.9b03598?rand=a4qh4ngj,https://onlinelibrary.wiley.com/doi/epdf/10.1002/anie.201310308,https://pubs.rsc.org/en/content/articlelanding/2017/cc/c7cc01055a/unauth#!divAbstract,CO2 Capture Using Electric Fields,Persist,,https://www.nsf.gov/awardsearch/showAward?AWD_ID=1566201&HistoricalAwards=false,https://preserve.lehigh.edu/cgi/viewcontent.cgi?article=3666&context=etd,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,Porifera,ALUMNI,For-profit,3/1/10,3/31/13,Resource Efficiency,http://www.porifera.com/about-porifera,,,Carbon Nanotube Membranes,Pivot,,"has potential, but need CO2 capture regs; see more potential in alt energy-water membrane",https://ww2.energy.ca.gov/2014publications/CEC-500-2014-064/CEC-500-2014-064.pdf,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,Soraa,ALUMNI,For-profit,6/6/12,1/31/16,Building Efficiency,https://www.soraa.com/,,,Ammonothermal Growth of GaN Substrates for LEDs,Persist,,journal paper showing it works; website showing progression of tech,,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,Stanford University,ALUMNI,Non-profit,1/14/10,11/30/16,Resource Efficiency,website doesn't work,,,Behavioral Initiatives for Energy Efficiency,Persist,,received follow on funding and produced report; was successful but unclear if it is still ongoing as it is not really a technology,https://peec.sites.stanford.edu/sites/g/files/sbiybj9616/f/stanford_arpae_final_technical_report_de.complete.pdf,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,Sun Catalytix,ALUMNI,For-profit,12/31/09,12/31/12,Resource Efficiency,Website under new ownership,https://www.greentechmedia.com/articles/read/mit-energy-storage-spinout-sun-catalytix-assets-acquired-by-lockheed-marti#gs.7erl68,https://www.forbes.com/sites/michaelkanellos/2014/08/26/mit-curse-part-ii-lockheed-martin-scoops-up-sun-catalytix/#8d2b82247917,Energy from Water and Sunlight,Persist,,acquired by Lockheed Martin; unclear if this particular tech Persists,,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,The Ohio State University,ALUMNI,Non-profit,4/1/10,9/30/14,Resource Efficiency,https://fan-1.engineering.osu.edu/publications,https://static1.squarespace.com/static/566b0ac3df40f3a731712cf4/t/576aaa743e00bef5ce96c52d/1466608255406/NCCC+Final+Report+DE-NT0000749+2008-2014.pdf,,Syngas into Fuel,Persist,,additional funding,https://www.osti.gov/biblio/1487263-pilot-scale-operation-testing-syngas-chemical-looping-hydrogen-production,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,3/1/10,8/31/12,Resource Efficiency,http://sinhagroup.mechanical.illinois.edu/index.html,,,Silicon-Based Thermoelectrics,Persist,,continued publication as of 2016,,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,Nalco,CANCELLED,For-profit,1/18/10,10/13/11,Resource Efficiency,https://www.ecolab.com/nalco-water,,,Using Enzymes to Capture CO2 in Smokestacks,Perish,,can't find on website that list many other of Nalco techs,,,,,,,,,,,
