,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,dummyCoder
0,1366 Technologies,"1366 Technologies is developing a process to reduce the cost of solar electricity by up to 50% by 2020--from $0.15 per kilowatt hour to less than $0.07. 1366's process avoids the costly step of slicing a large block of silicon crystal into wafers, which turns half the silicon to dust. Instead, the company is producing thin wafers directly from molten silicon at industry-standard sizes, and with efficiencies that compare favorably with today's state-of-the-art technologies. 1366's wafers could directly replace wafers currently on the market, so there would be no interruptions to the delivery of these products to market. As a result of 1366's technology, the cost of silicon wafers could be reduced by 80%.

",2012-06-30,OPEN 2009,ALUMNI,?q=slick-sheet-project/cost-effective-silicon-wafers-solar-cells,2010-03-01,Massachusetts,Cost-Effective Silicon Wafers for Solar Cells,Distributed Generation, ,3999828,1,Non-profit,Pivot,Persist
1,ADMA Products,"ADMA Products is developing a foil-like membrane for air conditioners that efficiently removes moisture from humid air. ADMA Products' metal foil-like membrane consists of a paper-thin, porous metal sheet coated with a layer of water-loving molecules. This new membrane allows water vapor to permeate across the membrane at high fluxes, at the same time blocking air penetration and resulting in high selectivity. The high selectivity of the membrane translates to less energy use, while the high permeation fluxes result in a more compact device. The new materials and the flat foil-like nature of the membrane facilitate the mass production of a low-cost compact dehumidification device. ADMA received a separate award of up to $466,176 from the Department of the Navy to help decrease military fuel use.
",2014-07-31,BEETIT,ALUMNI,?q=slick-sheet-project/membrane-dehumidifier,2010-09-01,Ohio,Membrane Dehumidifier,Building Efficiency, ,3380389,0,Non-profit,Pivot,Persist
2,Arizona State University (ASU),"Arizona State University (ASU) is developing a solar cell that can maintain efficient operation at temperatures above 400?C. Like many other electronics, solar panels work best in cooler environments. As the temperature of traditional solar cells increases beyond 100?C, the energy output decreases markedly and components are more prone to failure. ASU's technology adapts semiconducting materials used in today's light-emitting diode (LED) industry to enable efficient, long-term high-temperature operation. These materials could allow the cells to maintain operation at much higher temperatures than today's solar cells, so they can be integrated as the sunlight-absorbing surface of a thermal receiver in the next generation of hybrid solar collectors. The solar cell would provide electricity using a portion of the incoming sunlight, while the receiver collects usable heat at high temperature that can be stored and dispatched to generate electricity as needed.

",2017-08-29,FOCUS,ALUMNI,?q=slick-sheet-project/high-temperature-topping-cells-led-materials,2014-05-30,Arizona,High-Temperature Topping Cells from LED Materials,Distributed Generation, ,3899998,0,Non-profit,Perish,Pivot
3,Arizona State University (ASU),"Arizona State University (ASU) is developing a hybrid solar energy system that modifies a CSP trough design, replacing the curved mirror with solar cells that collect both direct and diffuse rays of a portion of sunlight while reflecting the rest of the direct sunlight to a thermal absorber to generate heat. Electricity from the solar cells can be used immediately while the heat can be stored for later use.  Today's CSP systems offer low overall efficiency because they collect only direct sunlight, or the light that comes in a straight beam from the sun. ASU's technology could increase the amount of light that can be converted to electricity by collecting diffuse sunlight, or light that has been scattered by the atmosphere, clouds, and off the earth. By integrating curved solar cells into a hybrid trough system, ASU will effectively split the solar spectrum and use each portion of the spectrum in the most efficient way possible. Diffuse and some direct sunlight are converted into electricity in the solar cells, while the unused portion of the direct sunlight is reflected for conversion to heat.

",2017-08-31,FOCUS,ALUMNI,?q=slick-sheet-project/solar-concentrating-photovoltaic-mirror,2014-06-01,Arizona,Solar-Concentrating Photovoltaic Mirror,Distributed Generation, ,2861296,0,Non-profit,Pivot,Perish
4,Arkansas Power Electronics International (APEI),"Currently, charging the battery of an electric vehicle (EV) is a time-consuming process because chargers can only draw about as much power from the grid as a hair dryer. APEI is developing an EV charger that can draw as much power as a clothes dryer, which would drastically speed up charging time. APEI's charger uses silicon carbide (SiC)-based power transistors. These transistors control the electrical energy flowing through the charger's circuits more effectively and efficiently than traditional transistors made of straight silicon. The SiC-based transistors also require less cooling, enabling APEI to create EV chargers that are 10 times smaller than existing chargers.

",2014-03-31,ADEPT,ALUMNI,?q=slick-sheet-project/powerful-efficient-electric-vehicle-chargers,2010-09-14,Arkansas,"Powerful, Efficient Electric Vehicle Chargers",Electrical Efficiency,Transportation Vehicles,3914051,0,Non-profit,Persist,Pivot
5,AutoGrid,"AutoGrid, in conjunction with Lawrence Berkeley National Laboratory and Columbia University, will design and demonstrate automated control software that helps manage real-time demand for energy across the electric grid. Known as the Demand Response Optimization and Management System - Real-Time (DROMS-RT), the software will enable personalized price signals to be sent to millions of customers in extremely short timeframes--incentivizing them to alter their electricity use in response to grid conditions. This will help grid operators better manage unpredictable demand and supply fluctuations in short time-scales--making the power generation process more efficient and cost effective for both suppliers and consumers. DROMS-RT is expected to provide a 90% reduction in the cost of operating demand response and dynamic pricing programs in the U.S.

",2014-03-31,GENI,ALUMNI,?q=slick-sheet-project/integration-renewables-demand-management,2012-01-11,California,Integration of Renewables via Demand Management,Grid, ,3464850,0,Non-profit,Persist,Pivot
6,Battelle Memorial Institute,"Battelle Memorial Institute is developing a new air conditioning system that uses a cascade reverse osmosis-based absorption cycle. Analyses show that this new cycle can be as much as 60% more efficient than vapor compression, which is used in 90% of air conditioners. Traditional vapor-compression systems use polluting liquids for a cooling effect. Absorption cycles use benign refrigerants such as water, which is absorbed in a salt solution and pumped as liquid--replacing compression of vapor. The refrigerant is subsequently separated from absorbing salt using heat for re-use in the cooling cycle. Battelle is replacing thermal separation of refrigerant with a more efficient reverse osmosis process. Research has shown that the cycle is possible, but further investment will be needed to reduce the number of cascade reverse osmosis stages and therefore cost.
",2011-12-30,BEETIT,ALUMNI,?q=slick-sheet-project/cascade-reverse-osmosis-air-conditioning-system,2010-09-01,Ohio,Cascade Reverse Osmosis Air Conditioning System,Building Efficiency, ,399922,0,Non-profit,Perish,Pivot
7,Brown University,"Brown University is developing a power conversion device to maximize power production and reduce costs to capture energy from flowing water in rivers and tidal basins. Conventional methods to harness energy from these water resources face a number of challenges, including the costs associated with developing customized turbine technology to a specific site. Additionally, sites with sufficient energy exist near coastal habitats which depend on the natural water flow to transport nutrients. Brown University's tidal power conversion devices can continuously customize themselves by using an onboard computer and control software to respond to real-time measurements, which will increase tidal power conversion efficiency. Brown University's technology will allow for inexpensive installation and software upgrades and optimized layout of tidal power generators to maximize power generation and mitigate environmental impacts.

",2017-05-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/customized-tidal-power-conversion-devices,2013-03-20,Rhode Islan,Customized Tidal Power Conversion Devices,Distributed Generation, ,3465143,1,Non-profit,Perish,Pivot
8,California Institute of Technology (Caltech),"Caltech, in coordination with Los Alamos National Laboratory (LANL), will investigate the scaling of adiabatic heating of plasma by propelling magnetized plasma jets into stationary heavy gases and/or metal walls. This is the reverse of the process that would occur in an actual fusion reactor - where a gas or metal liner would compress the plasma - but will provide experimental data to assess the magneto-inertial fusion approach. By using this alternative frame of reference, the researchers will be able to conduct experiments more frequently and at a lower cost because the experimental setup is non-destructive. The team will investigate the jet-target collision using many experiments with a wide range of parameters to determine the actual equation of state relating compression, change in magnetic field, and temperature increase. The experimental work will be supplemented with advanced 3D computer models. If successful, these results will show that compressional heating by a liner is a viable method for increasing temperatures to the levels required for magneto-inertial fusion. The study will also provide critical information on the interactions and limitations for a variety of possible driver and plasma target combinations being developed across the ALPHA program portfolio.

",2018-12-31,ALPHA,ALUMNI,?q=slick-sheet-project/heating-and-compression-mechanisms-fusion,2015-10-01,California,Heating and Compression Mechanisms for Fusion,Centralized Generation, ,950000,0,Non-profit,Perish,Pivot
9,California Institute of Technology (Caltech),"The California Institute of Technology (Caltech) is developing a distributed automation system that allows distributed generators--solar panels, wind farms, thermal co-generation systems--to effectively manage their own power. To date, the main stumbling block for distributed automation systems has been the inability to develop software that can handle more than 100,000 distributed generators and be implemented in real time. Caltech's software could allow millions of generators to self-manage through local sensing, computation, and communication. Taken together, localized algorithms can support certain global objectives, such as maintaining the balance of energy supply and demand, regulating voltage and frequency, and minimizing cost. An automated, grid-wide power control system would ease the integration of renewable energy sources like solar power into the grid by quickly transmitting power when it is created, eliminating the energy loss associated with the lack of renewable energy storage capacity of the grid.
",2015-06-01,GENI,ALUMNI,?q=slick-sheet-project/scalable-distributed-automation-system,2012-03-01,California,Scalable Distributed Automation System,Grid, ,1345817,0,Non-profit,Pivot,Persist
