Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Notes/Comments
OPEN 2009,1366 Technologies,ALUMNI,For-profit,3/1/10,6/30/12,Distributed Generation,http://1366tech.com/,http://1366tech.com/2019/02/26/1366-technologies-and-hanwha-q-cells-partner-on-worlds-first-factory-to-feature-direct-wafer-manufacturing-process/,,Cost-Effective Silicon Wafers for Solar Cells,Persist,
OPEN 2009,Delphi Automotive Systems,ALUMNI,For-profit,2/1/10,12/31/13,Electrical Efficiency,https://www.delphi.com/,,,More Efficient Power Conversion for EVs,Persist,
OPEN 2009,FloDesign Wind Turbine,ALUMNI,For-profit,2/22/10,3/31/13,Distributed Generation,Website doesn't work,https://www.bostonglobe.com/business/2017/05/05/deer-island-odd-looking-turbine-testament-failure/GJAe7yEYz1or8QGO07M95O/story.html,,Mixer-Ejector Wind Turbine,Pivot,
OPEN 2009,Foro Energy,ALUMNI,For-profit,1/15/10,9/30/13,Centralized Generation,http://www.foroenergy.com/,,,Laser-Mechanical Drilling for Geothermal Energy,Pivot,
OPEN 2009,General Motors (GM),ALUMNI,For-profit,1/1/10,3/31/12,Resource Efficiency,http://gmauthority.com/blog/2015/04/2016-chevrolet-malibu-hybrid-exhaust-gas-heat-recovery-feature-spotlight/,,,Waste Heat Recovery System,Perish,
OPEN 2009,ITN Energy Systems,ALUMNI,For-profit,1/1/10,6/30/13,Building Efficiency,http://www.itnes.com/,,,Electrochromic Film for More Efficient Windows,Perish,
OPEN 2009,Lehigh University,ALUMNI,Non-profit,1/1/10,6/30/12,Resource Efficiency,https://pubs.acs.org/doi/pdf/10.1021/acsami.9b03598?rand=a4qh4ngj,https://onlinelibrary.wiley.com/doi/epdf/10.1002/anie.201310308,https://pubs.rsc.org/en/content/articlelanding/2017/cc/c7cc01055a/unauth#!divAbstract,CO2 Capture Using Electric Fields,Persist,
OPEN 2009,Makani Power,ALUMNI,For-profit,9/1/10,10/16/13,Distributed Generation,https://makanipower.com/,,,Airborne Wind Turbine,Pivot,
OPEN 2009,Michigan State University (MSU),ALUMNI,Non-profit,1/14/10,9/30/13,Distributed Generation,https://scholar.google.com/citations?hl=en&user=9vENwLIAAAAJ&view_op=list_works&sortby=pubdate#d=gs_md_cita-d&u=%2Fcitations%3Fview_op%3Dview_citation%26hl%3Den%26user%3D9vENwLIAAAAJ%26cstart%3D20%26pagesize%3D80%26sortby%3Dpubdate%26citation_for_view%3D9vENwLIAAAAJ%3Ak_IJM867U9cC%26tzom%3D240,https://en.wikipedia.org/wiki/Wave_disk_engine#cite_note-8,,Shockwave Engine,Pivot,
OPEN 2009,Porifera,ALUMNI,For-profit,3/1/10,3/31/13,Resource Efficiency,http://www.porifera.com/about-porifera,,,Carbon Nanotube Membranes,Pivot,
OPEN 2009,Soraa,ALUMNI,For-profit,6/6/12,1/31/16,Building Efficiency,https://www.soraa.com/,,,Ammonothermal Growth of GaN Substrates for LEDs,Pivot,
OPEN 2009,Stanford University,ALUMNI,Non-profit,1/14/10,11/30/16,Resource Efficiency,website doesn't work,,,Behavioral Initiatives for Energy Efficiency,Pivot,
OPEN 2009,Sun Catalytix,ALUMNI,For-profit,12/31/09,12/31/12,Resource Efficiency,Website under new ownership,https://www.greentechmedia.com/articles/read/mit-energy-storage-spinout-sun-catalytix-assets-acquired-by-lockheed-marti#gs.7erl68,https://www.forbes.com/sites/michaelkanellos/2014/08/26/mit-curse-part-ii-lockheed-martin-scoops-up-sun-catalytix/#8d2b82247917,Energy from Water and Sunlight,Perish,
OPEN 2009,Teledyne Scientific & Imaging,ALUMNI,For-profit,10/1/10,4/19/13,Distributed Generation,http://www.teledyne-si.com/business-units/teledyne-scientific-company,,,Efficient Solar Concentrators,Pivot,
OPEN 2009,The Ohio State University,ALUMNI,Non-profit,4/1/10,9/30/14,Resource Efficiency,https://fan-1.engineering.osu.edu/publications,https://static1.squarespace.com/static/566b0ac3df40f3a731712cf4/t/576aaa743e00bef5ce96c52d/1466608255406/NCCC+Final+Report+DE-NT0000749+2008-2014.pdf,,Syngas into Fuel,Perish,
OPEN 2009,University of Delaware (UD),ALUMNI,Non-profit,2/15/12,12/31/14,Distributed Generation,http://yan.cbe.udel.edu/research.php,,,Affordable Hydrogen Fuel Cell Vehicles,Pivot,
OPEN 2009,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,3/1/10,8/31/12,Resource Efficiency,http://sinhagroup.mechanical.illinois.edu/index.html,,,Silicon-Based Thermoelectrics,Pivot,
OPEN 2009,Kohana Technologies,CANCELLED,For-profit,3/8/13,10/1/17,Distributed Generation,http://www.kohanatech.com/,https://arc.aiaa.org/doi/abs/10.2514/6.2018-3825,,Dynamically Adjustable Wind Turbine Blades,Pivot,
OPEN 2009,Nalco,CANCELLED,For-profit,1/18/10,10/13/11,Resource Efficiency,https://www.ecolab.com/nalco-water,,,Using Enzymes to Capture CO2 in Smokestacks,Pivot,
OPEN 2009,NanOasis Technologies,CANCELLED,For-profit,1/1/10,10/14/11,Resource Efficiency,Website doesn't work,,,Use of Carbon Nanotubes for Efficient Reverse Osmosis,Persist,
OPEN 2009,United Technologies Research Center (UTRC),CANCELLED,For-profit,12/15/09,1/9/12,Resource Efficiency,http://www.utrc.utc.com/,,,Using Synthetic Enzymes for Carbon Capture,Persist,
OPEN 2012,Applied Materials,ALUMNI,For-profit,6/1/13,9/30/16,Centralized Generation,http://www.appliedmaterials.com/,http://www.appliedmaterials.com/files/tempo_elsevier_energia_procedia_1.pdf,,Low-Cost Silicon Wafers for Solar Modules,Persist,
OPEN 2012,Arizona State University (ASU),ALUMNI,Non-profit,3/12/13,2/28/17,Resource Efficiency,https://sms.asu.edu/daniel_buttry,,,Electrochemical Carbon Capture,Pivot,
OPEN 2012,Brown University,ALUMNI,Non-profit,3/20/13,5/31/17,Distributed Generation,https://sites.google.com/a/brown.edu/this-be-a-lab/research,https://arpa-e.energy.gov/sites/default/files/documents/files/Brown_OPEN2012_ExternalProjectImpactSheet_01272017_FINAL.pdf,,Customized Tidal Power Conversion Devices,Pivot,
OPEN 2012,California Institute of Technology (Caltech),ALUMNI,Non-profit,3/28/13,9/27/16,Distributed Generation,https://daedalus.caltech.edu/,https://www.spectrolab.com/photovoltaics.html,https://daedalus.caltech.edu/files/2018/12/The-Polyhedral-Specular-Reflector.pdf,Improving Solar Generation Efficiency with Solar Modules,Pivot,
OPEN 2012,Ceramatec,ALUMNI,For-profit,2/1/13,2/15/15,Resource Efficiency,Website doesn't work,,,"A One-Step, Gas-to-Liquid Chemical Converter",Pivot,
OPEN 2012,Dioxide Materials,ALUMNI,For-profit,2/1/13,3/6/17,Resource Efficiency,https://dioxidematerials.com/,,,Converting CO2 into Fuel and Chemicals,Pivot,
OPEN 2012,eNova,ALUMNI,For-profit,5/1/13,2/17/14,Resource Efficiency,No website,,,Waste Heat-Powered Gas Compressor,Pivot,
OPEN 2012,General Electric (GE) Global Research,ALUMNI,For-profit,4/30/13,7/31/17,Grid,https://arpa-e.energy.gov/sites/default/files/documents/files/GE_OPEN2012_ImpactSheet_02062017_FINAL.pdf,,,High-Power Gas Tube Switches,Pivot,
OPEN 2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,4/17/13,10/17/16,Distributed Generation,https://industry.gatech.edu/technology/thermophotovoltaics-storage,http://meche.mit.edu/people/faculty/ase@mit.edu,,High-Efficiency Solar Fuel Reactor,Pivot,
OPEN 2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,5/3/13,9/30/16,Distributed Generation,http://www.fmrl.gatech.edu/drupal/projects/solarvortex,https://industry.gatech.edu/technology/method-converting-solar-and-waste-heat-usable-energy,,Power Generation Using Solar-Heated Ground Air,Pivot,
OPEN 2012,Glint Photonics,ALUMNI,For-profit,4/1/13,3/31/17,Distributed Generation,https://www.glintphotonics.com/,https://arpa-e.energy.gov/?q=slick-sheet-project/self-tracking-concentrator-photovoltaics,,Self-Tracking Concentrator Photovoltaics,Pivot,
OPEN 2012,Grid Logic,ALUMNI,For-profit,3/5/13,6/4/16,Electrical Efficiency,https://www.grid-logic.com/,,,High-Power Superconductors,Pivot,
OPEN 2012,HexaTech,ALUMNI,For-profit,2/5/13,5/31/16,Grid,http://www.hexatechinc.com/,,,Semiconductors that Improve Electricity Flow,Pivot,
OPEN 2012,Integral Consulting,ALUMNI,For-profit,4/5/13,8/31/17,Distributed Generation,https://www.integral-corp.com/,https://arpa-e.energy.gov/sites/default/files/documents/files/Integral_OPEN2012_ExternalProjectImpactSheet_FINAL.pdf,https://www.sofarocean.com/products/spotter,Measuring Real-Time Wave Data with Ocean Wave Buoy,Pivot,
OPEN 2012,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,6/1/13,12/31/14,Resource Efficiency,https://be.mit.edu/directory/jongyoon-han,http://www.rle.mit.edu/micronano/publications/,,"Scalable, Low-Power Water Treatment System",Pivot,
OPEN 2012,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,2/1/13,12/30/18,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S1876610214006092,https://www.energy.gov/sites/prod/files/2014/01/f7/csp_review_meeting_042313_ginley.pdf,https://www.nrel.gov/news/press/2017/nrel_research_yields_significant_thermoelectric_performance.html,Solar Thermoelectric Generator,Pivot,
OPEN 2012,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,2/1/13,4/30/14,Electrical Efficiency,https://directory.science.mq.edu.au/users/1193,https://scholar.google.com/citations?hl=en&user=Qo6BzvoAAAAJ&view_op=list_works&sortby=pubdate,,Efficient Plastic Solar Cells,Persist,
OPEN 2012,Otherlab,ALUMNI,For-profit,2/19/13,9/30/17,Distributed Generation,https://arpa-e.energy.gov/sites/default/files/documents/files/Sunfolding_ImpactSheet_FINAL.pdf,,,Small Mirrors for Solar Power Tower Plants,Persist,
OPEN 2012,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,4/12/13,7/17/16,Grid,https://arpa-e.energy.gov/sites/default/files/8_PNNL_Huang_GENI3.pdf,https://www.sciencedirect.com/science/article/abs/pii/S0378779616302322,http://sites.ieee.org/pes-hpcgrid/files/2018/07/GridPACK_slides.pdf,Real-Time Transmission Optimization,Pivot,
OPEN 2012,Pratt & Whitney Rocketdyne (PWR),ALUMNI,For-profit,6/14/13,3/15/15,Distributed Generation,http://www.pw.utc.com/,https://www.sciencedirect.com/science/article/pii/S1000936115002356,,Continuous Detonation Engine Combustors,Perish,
OPEN 2012,RamGoss,ALUMNI,For-profit,2/11/13,8/10/14,Grid,"No website/recent info, contact works at Breakthrough Energy",,,High-Performance Transistors,Pivot,
