,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder22,Final Decision,coder1notes,coder22notes,Comments,,,
0,Applied Materials,"Applied Materials is developing new tools for manufacturing Li-Ion batteries that could dramatically increase their performance. Traditionally, the positive and negative terminals of Li-Ion batteries are mixed with glue-like materials called binders, pressed onto electrodes, and then physically kept apart by winding a polymer mesh material between them called a separator. With the Applied Materials system, many of these manually intensive processes will be replaced by next generation coating technology to apply each component. This process will improve product reliability and performance of the cells at a fraction of the current cost. These novel manufacturing techniques will also increase the energy density of the battery and reduce the size of several of the battery's components to free up more space within the cell for storage. ",2013-09-30,BEEST,ALUMNI,?q=slick-sheet-project/new-electrode-manufacturing-process-equipment,2010-07-01,California,New Electrode Manufacturing Process Equipment,Transportation Storage,,4371028,0,For-profit,Persist,Perish,Pivot,,"Not working on lithium ion, but still doing additive manufacturing. Not sure pivot or perish",https://patents.google.com/patent/US20190013513A1/en,,,
1,Bettergy,"Bettergy is developing an inexpensive battery that uses a novel combination of solid, non-flammable materials to hold a greater amount of energy for use in EVs. Conventional EV batteries are typically constructed using costly materials and require heavy, protective components to ensure safety. Consequently, these heavy battery systems require the car to expend more energy, leading to reduced driving range. Bettergy will research a battery design that utilizes low-cost energy storage materials to reduce costs, and solid, non-flammable components that will not leak to improve battery safety. Bettergy plans to do this while reducing the battery weight for greater efficiency so vehicles can drive further on a single charge.
",2015-09-30,RANGE,ALUMNI,?q=slick-sheet-project/beyond-lithium-ion-solid-state-battery,2013-12-01,New York,Beyond Lithium-Ion Solid-State Battery,Transportation Storage,,587564,0,For-profit,Pivot,Persist,Pivot,"ARPA-E Tech was zinc based, now mostly doing li metal/li sulfur",I think they're still selling zinc,,,,
2,California Institute of Technology (Caltech),"The team at the California Institute of Technology (Caltech) has developed a method to determine the mechanical properties of lithium as a function of size, temperature, and microstructure. The body of scientific knowledge on these properties and the way dendrites form and grow is very limited, in part due to the reactivity of metallic lithium with components of air such as water and carbon dioxide. The team proposes to conduct a targeted investigation on the properties of electrodeposited lithium metal in commercial thin-film solid-state batteries. As part of the effort, the team will perform structural and mechanical testing on electrodeposited lithium, at dendrite-relevant dimensions. Their investigation will provide new information on the microstructure, strength, and stiffness of electrodeposited lithium. Finally, they will conduct cycling experiments on the commercial cells to observe lithium transport and dendrite nucleation and growth. If successful, the project will result in new knowledge about the microstructure and properties of lithium, and may further our understanding of dendrite nucleation and growth mechanisms - a starting point to developing higher energy battery technologies.

",2018-08-24,IDEAS,ALUMNI,?q=slick-sheet-project/nanomechanics-electrodeposited-li,2017-08-25,California,Nanomechanics of Electrodeposited Li,Transportation Storage,,290000,1,Non-profit,Pivot,Persist,Pivot,research project,"they achieved what they set out to do. they've moved on to other things, but this research is still actively cited",I've binned this one with other very fundamental research projects,,,
3,FastCAP Systems,"FastCAP Systems is improving the performance of an ultracapacitor--a battery-like electronic device that can complement, and possibly even replace, an HEV or EV battery pack. Ultracapacitors have many advantages over conventional batteries, including long lifespans (over 1 million cycles, as compared to 10,000 for conventional batteries) and better durability. Ultracapacitors also charge more quickly than conventional batteries, and they release energy more quickly. However, ultracapacitors have fallen short of batteries in one key metric: energy density--high energy density means more energy storage. FastCAP is redesigning the ultracapacitor's internal structure to increase its energy density. Ultracapacitors traditionally use electrodes made of irregularly shaped, porous carbon. FastCAP's ultracapacitors are made of tiny, aligned carbon nanotubes. The nanotubes provide a regular path for ions moving in and out of the ultracapacitor's electrode, increasing the overall efficiency and energy density of the device.

",2013-12-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/high-energy-density-ultracapacitors,2010-04-01,Massachusetts,High Energy Density Ultracapacitors,Transportation Storage,,5349931,1,For-profit,Pivot,Persist,Pivot,,"Still selling caps, but focus seems to have shifted to batteries https://go.nanoramic.com/fastcap-chip-cap-spec-sheet",,,,
4,Georgia Tech Research Corporation,"Georgia Tech Research Corporation is developing a supercapacitor using graphene--a two-dimensional sheet of carbon atoms--to substantially store more energy than current technologies. Supercapacitors store energy in a different manner than batteries, which enables them to charge and discharge much more rapidly. The Georgia Tech team approach is to improve the internal structure of graphene sheets with 'molecular spacers,' in order to store more energy at lower cost. The proposed design could increase the energy density of the supercapacitor by 10-15 times over established capacitor technologies, and would serve as a cost-effective and environmentally safe alternative to traditional storage methods.

",2016-03-19,OPEN 2012,ALUMNI,?q=slick-sheet-project/graphene-based-supercapacitors,2013-03-20,Georgia,Graphene-Based Supercapacitors,Transportation Storage,,2114999,1,Non-profit,Perish,Pivot,Perish,,"Can't find anything selling this? PI published on graphene supercaps in 2018, but has since moved on",,,,
5,Lawrence Berkeley National Laboratory (LBNL),"Lawrence Berkeley National Laboratory (LBNL) will develop a high power density, rapid-start, metal-supported solid oxide fuel cell (MS-SOFC), as part of a fuel cell hybrid vehicle system that would use liquid bio-ethanol fuel. In this concept, the SOFC would accept hydrogen fuel derived from on-board processing of the bio-ethanol and air, producing electricity to charge an on-board battery and operate the motor. The project aims to develop and demonstrate cell-level MS-SOFC technology providing unprecedented high power density and rapid start capability initially using hydrogen and simulated processed ethanol fuels. The majority of the project will focus on the optimization and development of scalable cells that meet stringent power density and start-up time metrics. High-performance catalysts and state-of-the-art high-oxide-conductivity electrolyte materials will be adapted to the MS-SOFC architecture and processing requirements. The cell will be optimized for power density by making the electrolyte and support layers as thin as possible, and the porous electrode structures will be optimized for catalytic activity, gas transport, and conductivity. If successful, the MS-SOFC will be used in a fuel cell stack to achieve low startup time (less than 3 minutes), thousands of operating cycles, and excellent anode oxidation tolerance thus solving issues that have prevented conventional SOFCs from being used effectively in vehicles.

",2018-08-31,IDEAS,ALUMNI,?q=slick-sheet-project/metal-supported-sofc-vehicles,2017-09-01,California,Metal-Supported SOFC for Vehicles,Transportation Storage,,500000,1,Non-profit,Pivot,Persist,Persist,tried a bunch of formulas?,"still working on SOFCs for vehicles, publishing this year",,,,
6,PolyPlus Battery Company,"PolyPlus Battery Company is developing the world's first commercially available rechargeable lithium-air (Li-Air) battery. Li-Air batteries are better than the Li-Ion batteries used in most EVs today because they breathe in air from the atmosphere for use as an active material in the battery, which greatly decreases its weight. Li-Air batteries also store nearly 700% as much energy as traditional Li-Ion batteries. A lighter battery would improve the range of EVs dramatically. PolyPlus is on track to making a critical breakthrough: the first manufacturable protective membrane between its lithium-based negative electrode and the reaction chamber where it reacts with oxygen from the air. This gives the battery the unique ability to recharge by moving lithium in and out of the battery's reaction chamber for storage until the battery needs to discharge once again. Until now, engineers had been unable to create the complex packaging and air-breathing components required to turn Li-Air batteries into rechargeable systems.
",2012-12-31,BEEST,ALUMNI,?q=slick-sheet-project/rechargeable-lithium-air-batteries,2010-07-01,California,Rechargeable Lithium-Air Batteries,Transportation Storage,,5396310,0,For-profit,Persist,Pivot,Pivot,,Solid State,Other active arpa-e projects ,,,
7,Princeton University,"Alkaline batteries are used in a variety of electronic devices today because of their ability to hold considerable energy, for a long time, at a low cost. In order to create alkaline batteries suitable for EVs, Princeton University will use its expertise in alkaline battery systems examine a variety of suitable positive and negative electrode chemistries. Princeton will then select and experiment with those chemistries that show promise, using computational models to better understand their potential cycle life and storage capacities. Once a promising chemistry has been settled on, Princeton will build and test a prototype battery for an EV.
",2015-03-31,RANGE,ALUMNI,?q=slick-sheet-project/long-life-rechargeable-alkaline-batteries-evs,2013-12-11,New Jersey,Long-Life Rechargeable Alkaline Batteries for EVs,Transportation Storage,,952187,0,Non-profit,Perish,Pivot,Perish,We arent doing this?,,,,,
8,Purdue University,"Purdue University is developing an EV battery pack that can better withstand impact during a collision. In contrast to today's EV battery packs that require heavy packaging to ensure safety, Purdue's pack stores energy like a standard battery but is also designed to absorb the shock from an accident, prevents battery failure, and mitigates the risk of personal injury. Batteries housed in protective units are arranged in an interlocking configuration to create an impact energy dissipation device. Should a collision occur, the assemblies of the encased battery units rub against each other, thereby absorbing impact energy and preserving the integrity of the battery pack. Purdue will build a prototype protective casing, create a battery array of several battery units using this design, and study the dynamic behavior of battery units under impact in order to develop a novel EV battery pack.
",2015-12-31,RANGE,ALUMNI,?q=slick-sheet-project/impact-tolerant-electric-vehicle-batteries,2013-12-02,Indiana,Impact-Tolerant Electric Vehicle Batteries,Transportation Storage,,798932,0,Non-profit,Perish,Pivot,Perish,"No recent work, patent not licensed",still working on batteries for EVs?,,,,
9,Recapping,"Recapping is developing a capacitor that could rival the energy storage potential and price of today's best EV batteries. When power is needed, the capacitor rapidly releases its stored energy, similar to lightning being discharged from a cloud. Capacitors are an ideal substitute for batteries if their energy storage capacity can be improved. Recapping is addressing storage capacity by experimenting with the material that separates the positive and negative electrodes of its capacitors. These separators could significantly improve the energy density of electrochemical devices.
",2012-12-31,BEEST,ALUMNI,?q=slick-sheet-project/high-energy-density-capacitors,2010-07-01,California,High Energy Density Capacitors,Transportation Storage,,999999,0,For-profit,Perish,Pivot,Pivot,,Now working on solid state electrolytes,,,,
