,Companies,description,endDate,program,projectStatus,projecturl,startDate,state,Tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,Rebecca,Sarah,Final Decision,Notes/Comments-Rebecca,Notes/Comments Sarah,Comments,,,,
0,Agrivida,"Enzymes are required to break plant biomass down into the fermentable sugars that are used to create biofuel. Currently, costly enzymes must be added to the biofuel production process. Engineering crops to already contain these enzymes will reduce costs and produce biomass that is more easily digested. In fact, enzyme costs alone account for $0.50-$0.75/gallon of the cost of a biomass-derived biofuel like ethanol. Agrivida is genetically engineering plants to contain high concentrations of enzymes that break down cell walls. These enzymes can be ""switched on"" after harvest so they won't damage the plant while it's growing.

",2015-03-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/engineering-enzymes-energy-crops,2010-01-15,Massachusetts,Engineering Enzymes in Energy Crops,Transportation Fuels,,6562292,1,Non-profit,Pivot,Perish,Perish,,,,,,,
1,Arizona State University (ASU),"Arizona State University (ASU) is engineering a type of photosynthetic bacteria that efficiently produce fatty acids--a fuel precursor for biofuels. This type of bacteria, called Synechocystis, is already good at converting solar energy and carbon dioxide (CO<sub>2</sub>) into a type of fatty acid called lauric acid. ASU has modified the organism so it continuously converts sunlight and CO<sub>2</sub> into fatty acids--overriding its natural tendency to use solar energy solely for cell growth and maximizing the solar-to-fuel conversion process. ASU's approach is different because most biofuels research focuses on increasing cellular biomass and not on excreting fatty acids. The project has also identified a unique way to convert the harvested lauric acid into a fuel that can be easily blended with existing transportation fuels.

",2013-06-30,OPEN 2009,ALUMNI,?q=slick-sheet-project/turning-bacteria-fuel,2010-01-01,Arizona,Turning Bacteria into Fuel,Transportation Fuels,,6799288,1,Non-profit,Pivot,Persist,Pivot,"Some of the project people still doing stuff with the same bacteria, but focusing on growth, no recent publications/other grants on extraction or harvesting this specific type of lauric acid",,,,,,
2,California Institute of Technology (Caltech),"The California Institute of Technology (Caltech) team is using first-principles reasoning (i.e. a mode of examination that begins with the most basic physical principles related to an issue and ""builds up"" from there) and advanced computational modeling to ascertain the underlying mechanisms that cause acoustic waves to affect catalytic reaction pathways. The team will first focus their efforts on two types of reactions for which there is strong experimental evidence that acoustic waves can enhance catalytic activity: Carbon Monoxide (CO) oxidation, and Ethanol decomposition. Armed with this new understanding, the team will suggest promising applications for acoustic wave enhanced catalysis to new reactions with large energy and emissions footprints, such as ammonia synthesis. As an ARPA-E IDEAS project, this research is at a very early stage. However, this novel approach to acoustic wave enhanced catalysis has the potential to improve energy and resource efficiency across broad swathes of the chemical, industrial, and other sectors of the economy.
",2017-09-30,IDEAS,ALUMNI,?q=slick-sheet-project/acoustic-wave-enhanced-catalysis,2015-03-09,California,Acoustic Wave Enhanced Catalysis,Transportation Fuels,,425000,1,Non-profit,Pivot,Persist,Pivot,none,none,,,,,
3,Colorado State University (CSU),"Colorado State University (CSU) is developing technology to rapidly introduce novel traits into crops that currently cannot be readily engineered. Presently, a limited number of crops can be engineered, and the processes are not standardized - restricting the agricultural sources for engineered biofuel production. More--and more diverse--biofuel crops could substantially improve the efficiency, time scale, and geographic range of biofuel production. CSU's approach would enable simple and efficient engineering of a broad range of bioenergy crops using synthetic biology tools to standardize their genetic modification.
",2015-10-03,OPEN 2012,ALUMNI,?q=slick-sheet-project/more-options-bioenergy-crops,2013-04-04,Colorado,More Options for Bioenergy Crops,Transportation Fuels,,1576999,1,Non-profit,Pivot,Persist,Pivot,"Pretty limited work on biofuels, focused on crops broadly",None,,,,,
4,Columbia University,"Columbia University is using carbon dioxide (CO<sub>2</sub>) from ambient air, ammonia--an abundant and affordable chemical--and a bacteria called N. europaea to produce liquid fuel. The Columbia University team is feeding the ammonia and CO<sub>2</sub> into an engineered tank where the bacteria live. The bacteria capture the energy from ammonia and then use that energy to convert CO<sub>2</sub> into a liquid fuel. When the bacteria use up all the ammonia, renewable electricity can regenerate it and pump it back into the system--creating a continuous fuel-creation cycle. In addition, Columbia University is also working with the bacteria A. ferrooxidans to capture and use energy from ferrous iron to produce liquid fuels from CO<sub>2</sub>.

",2014-06-30,Electrofuels,ALUMNI,?q=slick-sheet-project/biofuels-bacteria-electricity-and-co2,2010-07-01,New York,"Biofuels from Bacteria, Electricity, and CO2",Transportation Fuels,,1505985,0,Non-profit,Pivot,Persist,Pivot,"Doesn't seem to be doing much with this, but Ironic Chemicals is using mine waste",None,,,,,
5,Columbia University,"The innovation lies in the exploitation of novel natural energy source: reduced metal deposits.  The energy released during oxidation of these metals could be used to reduce CO<sub>2</sub> into fuels and chemicals reducing petroleum usage.This proposed project fits within the Chemical-Chemical Area of Interest, as it involves the coupling of the oxidation of reduced minerals in the Earth's crust to the production of reduced carbon chemicals for fuel utilization. This addresses both of Mission Areas of ARPA-E as the co-generation of fuels during copper bioleaching will potentially reduce the import of energy from foreign sources, reduce greenhouse gas emissions, improve energy efficiency in the mining industry, and ensure that the U.S. maintains a lead in the development of this disruptive new technology.

",2016-05-30,IDEAS,ALUMNI,?q=slick-sheet-project/co-generation-fuels-during-copper-bioleaching,2015-03-01,New York,Co-Generation of Fuels During Copper Bioleaching,Transportation Fuels,,475221,1,Non-profit,Pivot,Persist,Pivot,"some work with bioleaching, but not of copper",None,,,,,
6,Cornell University,"Cornell University is developing a new photobioreactor that is more efficient than conventional bioreactors at producing algae-based fuels. Traditional photobioreactors suffer from several limitations, particularly poor light distribution, inefficient fuel extraction, and the consumption of large amounts of water and energy. Cornell's bioreactor is compact, making it more economical to grow engineered algae and collect the fuel the algae produces. Cornell's bioreactor also delivers sunlight efficiently through low-cost, plastic, light-guiding sheets. By distributing optimal amounts of sunlight, Cornell's design would increase efficiency and decrease water use compared to conventional algae reactors.

",2014-05-01,OPEN 2012,ALUMNI,?q=slick-sheet-project/efficient-photobioreactor-algae-based-fuel,2013-02-01,New York,Efficient Photobioreactor for Algae-Based Fuel,Transportation Fuels,,908937,1,Non-profit,Perish,Persist,Perish,a few publications (last in 2015) no students/post docs working on it,None,Another one for the academic question mark hole,,,,
7,Eaton Corporation,"Eaton is developing an at-home natural gas refueling system that relies on a liquid piston to compress natural gas. A traditional compressor uses an electric motor to rotate a crankshaft, which is tied to several metal pistons that pump to compress gas. Traditional compressor systems can be inefficient and their complex components make them expensive to manufacture, difficult to maintain, and short-lived. Eaton's system replaces traditional pistons with a liquid that comes into direct contact with the natural gas without the need for the costly high-pressure piston seals that are used in conventional gas compression.
",2015-12-31,MOVE,ALUMNI,?q=slick-sheet-project/liquid-piston-isothermal-home-natural-gas-compressor,2013-01-01,Ohio,Liquid-Piston Isothermal Home Natural Gas Compressor,Transportation Fuels,,3350928,0,Non-profit,Perish,Pivot,Pivot,"No related products, lots of articles about development, nothing about launch",Still working on CNG but no evidence of home natural gas compressor,,,,,
8,Electron Energy Corporation (EEC),"Electron Energy Corporation (EEC) and its team are developing a new processing technology that could transform how permanent magnets found in today's EV motors and renewable power generators are fabricated. This new process, known as friction consolidation extrusion (FC&amp;E), could produce stronger magnets at a lower cost and with reduced rare earth mineral content. The advantage of FC&amp;E over today's best fabrication processes is that it can be applied to unconsolidated powders as opposed to solid alloys, which can allow magnets to be compacted from much smaller grains of two different types, a process which could double its magnetic energy density. EEC's process could reduce the need for rare earth mineral in permanent magnets by as much 30%.
",2017-02-14,OPEN 2012,ALUMNI,?q=slick-sheet-project/new-processing-technology-permanent-magnets,2013-04-15,Pennsylvania,New Processing Technology for Permanent Magnets,Transportation Vehicles,,2889612,1,Non-profit,Pivot,Persist,Persist,Seems like the main guy left? ,None,,,,,
9,Evolva,"Evolva is producing terpenes--energy dense molecules that can be used as high-performance aviation fuels--from simple sugars using engineered microbes. These terpenes will provide better performance than existing petroleum-based aviation fuels. Evolva will draw upon their industrial-scale terpene manufacturing experience to produce aviation sesquiterpenes at a low cost and large scale. Going forward, Evolva will validate the performance of its aviation fuels in unmanned aerial vehicles (UAVs), and further engineer its process to utilize biomass feedstocks.
",2016-09-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-performance-aviation-fuels-terpenes,2013-04-11,Kentucky,High Performance Aviation Fuels from Terpenes,Transportation Fuels,,196458,1,Non-profit,Pivot,Perish,Perish,None,None,,,,,
