Companies,description,endDate,program,projectStatus,projecturl,startDate,state,Tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder5,Final Decision,Discussion points,coder1notes,coder5notes,Comments,,
ABB,"ABB is developing an advanced energy storage system using superconducting magnets that could store significantly more energy than today's best magnetic storage technologies at a fraction of the cost. This system could provide enough storage capacity to encourage more widespread use of renewable power like wind and solar. Superconducting magnetic energy storage systems have been in development for almost 3 decades; however, past devices were designed to supply power only for short durations--generally less than a few minutes. ABB's system would deliver the stored energy at very low cost, making it ideal for eventual use in the electricity grid as a cost-effective competitor to batteries and other energy storage technologies. The device could potentially cost even less, on a per kilowatt basis, than traditional lead-acid batteries.
",6/30/14,GRIDS,ALUMNI,?q=slick-sheet-project/magnetic-energy-storage-system,10/1/10,North Carolina,Magnetic Energy Storage System,Storage,,4580020,0,For-profit,Pivot,Persist,Pivot,"ABB still around, but are they working on this project?",Don't see anything about magnetic systems on their website,ABB is still in the game,,,
Abengoa Solar,"Abengoa Solar is developing a high-efficiency solar-electric conversion tower to enable low-cost, fully dispatchable solar energy generation. Abengoa's conversion tower utilizes new system architecture and a two-phase thermal energy storage media with an efficient supercritical carbon dioxide (CO<sub>2</sub>) power cycle. The company is using a high-temperature heat-transfer fluid with a phase change in between its hot and cold operating temperature. The fluid serves as a heat storage material and is cheaper and more efficient than conventional heat-storage materials, like molten salt. It also allows the use of a high heat flux solar receiver, advanced high thermal energy density storage, and more efficient power cycles.

",7/31/14,HEATS,ALUMNI,?q=slick-sheet-project/conversion-tower-dispatchable-solar-power,1/11/12,Colorado,Conversion Tower for Dispatchable Solar Power,Storage,,1555200,0,For-profit,Pivot,Persist,Persist,,keep redesigning collector system,,,,
Alcoa,"Alcoa is designing a new, electrolytic cell that could significantly improve the efficiency and price point of aluminum production. Conventional cells reject a great deal of waste heat, have difficulty adjusting to electricity price changes, and emit significant levels of CO<sub>2</sub>. Alcoa is addressing these problems by improving electrode design and integrating a heat exchanger into the wall of the cell. Typically, the positive and negative electrodes--or anode and cathode, respectively--within a smelting cell are horizontal. Alcoa will angle their cathode, increasing the surface area of the cell and shortening the distance between anode and cathode. Further, the cathode will be protected by ceramic plates, which are highly conductive and durable. Together, these changes will increase the output from a particular cell and enable reduced energy usage. Alcoa's design also integrates a molten glass (or salt) heat exchanger to capture and reuse waste heat within the cell walls when needed and reduce global peak energy demand. Alcoa's new cell design could consume less energy, significantly reducing the CO<sub>2</sub> emissions and costs associated with current primary aluminum production.

",7/20/18,METALS,ALUMNI,?q=slick-sheet-project/aluminum-electrolytic-cell-heat-recovery,3/31/14,Pennsylvania,Aluminum Electrolytic Cell with Heat Recovery,Manufacturing Efficiency,,4267218,0,For-profit,Pivot,Persist,Persist,https://arpa-e.energy.gov/?q=slick-sheet-project/aluminum-electrolytic-cell-heat-recovery,,biggest ARPA-e win to date?! https://www.lightmetalage.com/news/industry-news/smelting/elysis-starts-construction-on-its-smelting-technology-research-and-development-center/,"@rebecca follow patent trail - seems like the tib2 thing was started a long time ago, just starting to get traction now, but alcoa never really credits arpa-e which is a bit weird",,
American Manufacturing,"American Manufacturing, in collaboration with the University of Colorado at Boulder, will develop a flash sintering system to manufacture solid lithium-conducting electrolytes with high ionic conductivity. Conventional sintering is the process of compacting and forming a solid mass by heat and/or pressure without melting it to the point of changing it to a liquid, similar to pressing a snowball together from loose snow. In conventional sintering a friable ceramic ""bisque"" is heated for several hours at very high temperatures until it becomes dense and strong. Oxide ceramics for solid-state electrolytes have high melting points, and some are chemically stable and do not react with lithium metal, which can reduce cost and maximize energy density. But the sintering process requires several hours at very high temperatures (1100?C). These conditions conflict with the fast movement of lithium atoms in the solid state, which is a key property of the electrolyte.  Therefore, the manufacture of these electrolytes by the conventional sintering process is a key barrier to their cost and viability. In contrast, flash sintering can occur in fewer than 5 seconds, at temperatures below 800?C, and can prevent the loss of lithium experienced in conventional sintering. This project is expected to improve lithium battery technology in the following ways: lowering the cost of sintering and processing; enhancing productivity through roll-to-roll manufacturing of co-sintered multilayers ready to be inserted into devices; and hastening the discovery of new materials by shortening the time between synthesis of new chemistries and their electrochemical evaluation to days instead of months.

",9/19/18,IONICS,ALUMNI,?q=slick-sheet-project/flash-sintering-system,12/20/16,Colorado,Flash Sintering System,Storage,Transportation Storage,850000,0,For-profit,Pivot,Persist,Pivot,,"Research, limited commercial apps",Academic effort ongoing,,,
Battelle Memorial Institute,"Battelle Memorial Institute is developing an optical sensor to monitor the internal environment of lithium-ion (Li-Ion) batteries in real-time. Over time, crystalline structures known as dendrites can form within batteries and cause a short circuiting of the battery's electrodes. Because faults can originate in even the tiniest places within a battery, they are hard to detect with traditional sensors. Battelle is exploring a new, transformational method for continuous monitoring of operating Li-Ion batteries. Their optical sensors detect internal faults well before they can lead to battery failures or safety problems. The Battelle team will modify a conventional battery component to scan the cell's interior, watching for internal faults to develop and alerting the battery management system to take corrective action before a hazardous condition occurs.
",9/30/14,AMPED,ALUMNI,?q=slick-sheet-project/optical-fault-sensors-lithium-ion-batteries,11/1/12,Ohio,Optical Fault Sensors for Lithium-Ion Batteries,Storage,Transportation Storage,930179,0,Non-profit,Pivot,Persist,Pivot,,,"looking to license their technology, seems like it would be too expensive to implement (https://www.battelle.org/docs/default-source/commercial-offerings/industry-solutions/battery-separator-technology.pdf?sfvrsn=f8d472b2_2)",Patent still alive,,
Boston Electrometallurgical Corporation,"Boston Electrometallurgical Corporation will develop and scale a one step molten oxide electrolysis process for producing Ti metal directly from the oxide. Titanium oxide is dissolved in a molten oxide, where it is directly and efficiently extracted as molten titanium metal. In this process, electrolysis is used to separate the product from the solution as a bottom layer that can then be removed from the reactor in its molten state. If successful, it could replace the multistep Kroll process with a one-step process that resembles today's aluminum production techniques. If successful, Ti ingots could be produced at cost parity with stainless steel, opening the doorway to industrial waste heat recovery applications and increasing its adoption in commercial aircraft.

",7/31/18,OPEN 2015,ALUMNI,?q=slick-sheet-project/high-efficiency-titanium-production,5/5/16,Massachusetts,High-Efficiency Titanium Production,Manufacturing Efficiency,,2279027,1,For-profit,Pivot,Persist,Pivot,They switched from titanium to steel,Another Sadoway project,received SeriesA in 2019 to scale lab to pilot (https://www.bizjournals.com/boston/news/2019/01/10/boston-metal-raises-20m-from-billionaires-energy.html),,,
Citrine Informatics,"The Citrine Informatics team is demonstrating a proof-of-concept for a system that would use experimental work to intelligently guide the investigation of new solid ionic conductor materials. If successful, the project will create a new approach to material discovery generally and new direction for developing promising ionic conductors specifically. The project will aggregate data (both quantitative and meta-data related to experimental conditions) relevant to ionic conductors from the published literature and build advanced, machine learning models for prediction based upon the resulting large database. The team's system will also experimentally explore the new materials space identified and suggested by the models. The Citrine project could provide researchers near-real-time feedback as they perform experiments, allowing them to dynamically select the most promising research pathways. This would in turn unlock more rapid ionic conductor identification and development, and transform the fields of theoretical and experimental materials science at-large.

",3/21/17,IDEAS,ALUMNI,?q=slick-sheet-project/machine-learning-solid-ion-conductors,12/22/15,California,Machine Learning for Solid Ion Conductors,Storage,Transportation Storage,499023,1,For-profit,Pivot,Persist,Persist,,"Have open source options, platform designed for more than just ionic conductors",,,,
City University of New York (CUNY) Energy Institute,"City University of New York (CUNY) Energy Institute is working to tame dendrite formation and to enhance the lifetime of Manganese in order to create a long-lasting, fully rechargeable battery for grid-scale energy storage. Traditional consumer-grade disposable batteries are made of Zinc and Manganese, two inexpensive, abundant, and non-toxic metals, but these disposable batteries can only be used once. If they are recharged, the Zinc in the battery develops filaments called dendrites that grow haphazardly and disrupt battery performance, while the Manganese quickly loses its ability to store energy. CUNY Energy Institute is also working to reduce dendrite formation by pumping fluid through the battery, enabling researchers to fix the dendrites as they form. The team has already tested its Zinc battery through 3,000 recharge cycles (and counting). CUNY Energy Institute aims to demonstrate a better cycle life than lithium-ion batteries, which can be up to 20 times more expensive than Zinc-based batteries.

",3/31/15,GRIDS,ALUMNI,?q=slick-sheet-project/flow-assisted-alkaline-battery,9/15/10,New York,Flow-Assisted Alkaline Battery,Storage,,3494708,0,Non-profit,Pivot,Persist,Pivot,"Same chemistry, but not flow-assisted, right?",,https://www.urbanelectricpower.com/,,,
Colorado School of Mines,"The Colorado School of Mines will develop a membrane reactor concept to synthesize ammonia at ambient pressure. In traditional ammonia production processes, nitrogen (N<sub>2</sub>) and hydrogen (H<sub>2</sub>) compete for identical catalyst sites, and the presence of each inhibits the other, with the overall rate reflecting a compromise. The team proposes decoupling and independently controlling the N<sub>2</sub> and H<sub>2</sub> dissociation by dedicating one side of the composite membrane to each. In this way, the catalysts may be individually optimized. Highly effective catalysts have been previously demonstrated for H<sub>2</sub> dissociation, and the team's focus will be on exploring early transition metals which have shown great promise as catalysts for N<sub>2</sub> dissociation. When perfected, this technology will allow the production of ammonia at ambient pressure, reducing the scale and number of steps required in the process. This method is also an improvement over electrochemical processes, which have a more complicated design and reduced efficiency due to the need for an external voltage.

",7/31/18,IDEAS,ALUMNI,?q=slick-sheet-project/ammonia-synthesis-membrane-reactor,9/27/16,Colorado,Ammonia Synthesis Membrane Reactor,Storage,,500000,1,Non-profit,Perish,Persist,Pivot,,They literally did the opposite thing (decomposition vs synthesis),,,,
Det Norske Veritas (DNV KEMA),"Det Norske Veritas (DNV KEMA) is testing a new gas monitoring system developed by NexTech Materials to provide early warning signals that a battery is operating under stressful conditions and at risk of premature failure. As batteries degrade, they emit low level quantities of gas that can be measured over the course of a battery's life-time. DNV KEMA is working with NexTech to develop technology to accurately measure these gas emissions. By taking accurate stock of gas emissions within the battery pack, the monitoring method could help battery management systems predict when a battery is likely to fail. Advanced prediction models could work alongside more traditional models to optimize the performance of electrical energy storage systems going forward. In the final phase of the project, DNV KEMA will build a demonstration in a community energy storage system with Beckett Energy Systems.
",4/1/15,AMPED,ALUMNI,?q=slick-sheet-project/gas-based-battery-monitoring-system,10/1/12,Texas,Gas-Based Battery Monitoring System,Storage,Transportation Storage,2030961,0,For-profit,Persist,Perish,Persist,,"Seems like the technology is the same, even if there is relatively little data re: targets",couldn't find any followup,https://liiontamer.com/,,
