,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
awardAmount,0.1635322827438062,0.14327113552729925,-12.389692650623964,0.051888958486568694,0.054841024735978974,0.13087768215578613,0.22577616608072468,72.50929445096615,0.08877728871091282,0.0011625137437240648
TC_TF,-1.111427959309052,-1.0996515306726926,-1.059576424879614,0.029255237303926446,0.00909181605857244,-1.0404749793384718,-0.4042427231302306,-61.14825140848213,0.021837319668764874,0.2814190016482454
TC_DG,-1.1627673938028067,-1.2851943136300636,10.528926118822634,0.034679869824966354,0.004819400532520727,-0.7033589659620517,-0.13327206781332288,-81.05205531416894,0.13041236757171454,0.7275080867653576
TC_TS,-1.3810126530335198,-1.5093503138503106,9.293011221503686,0.023522405347068665,0.004485922680487724,-0.5301216169578769,0.091568406165312,-117.27309417993192,0.2611174221090813,0.8145555977385959
TC_BE,-0.31049588306123044,-0.3211790464618464,3.44067795530456,0.6219555635485663,0.5345978912574616,-0.8866018596753958,-0.15559161225283197,-82.4507911240117,0.1324269282354253,0.7556632459803034
TC_RE,-0.2995076058206069,-0.31705127984020265,5.857505344990699,0.5618330542561021,0.4437500477065096,-0.5612394104519238,0.10184424839565887,-118.14631091456165,0.23976889586244254,0.7919572250555618
TC_ME,-0.9256870876495814,-1.1002109660297565,18.853442022542406,0.17758192223957536,0.06315453640555005,-1.3828294206586293,-0.8350669319820347,-39.611717865801566,0.02847053442706234,0.12960722766725535
TC_EE,-0.6957377468014693,-0.8448272510349619,21.42898023269618,0.2676563824880682,0.09954464261464471,-0.8391856368087571,-0.1421869197071626,-83.05655942255292,0.12843609870486522,0.7548118046216306
TC_GR,0.2633117634716405,0.3807218407593574,44.58975768485268,0.6780063941546305,0.5079340083314878,-1.3020351654135478,-0.6161201712674643,-52.68022034782952,0.06197608064470959,0.3472036659672275
TC_OT,1.0413495324965418,0.946534577303464,-9.105007707236156,0.241954335317075,0.2581619292835764,-0.34417689058781165,0.11757368494162876,-134.16083071144823,0.7170247314978748,0.8977408525095413
StartupForProf,0.10144155009588965,0.11255304967205589,10.953597974067698,0.8053709133969673,0.7759967968763262,-1.7570393639180273,-1.6510078375086208,-6.034669944614472,9.115648375800332e-05,0.00020737798526970682
OtherForProf,-0.41672812061491005,-0.45088672056139173,8.196855037303074,0.14792404364526462,0.09991985058837409,-1.000637840085103,-0.8820895118039975,-11.847276160476113,6.923476947950917e-05,0.00032713742257872063
