,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
TC_TF,-1.098905616569521,-0.7127309026199177,-35.14175449891082,0.029588607664729906,0.056634939912662066,-1.044615355468304,0.06474015238144447,-106.19751107836446,0.021049411880730864,0.8426717022969503
TC_DG,-1.163204379526893,-0.8267921820548362,-28.92115980588766,0.03353923457236381,0.03583523128342582,-0.6982923805104813,0.45029860971968266,-164.48568282966158,0.13234947303034586,0.1494243428766272
TC_TS,-1.3549234500944876,-1.235779122611949,-8.793436077457354,0.025240481832597823,0.014485765258332001,-0.5542356370433017,0.4299453146769923,-177.57446218554892,0.2390115014882076,0.22443552882522244
TC_BE,-0.36585088342601524,0.02579417416944223,-107.05046108619237,0.556738069610562,0.9572204758250732,-0.8289364268231799,0.3749377468726848,-145.2311823609439,0.15809868845246677,0.41705206410655693
TC_RE,-0.3784259936594586,0.018393904691715608,-104.86063457582358,0.4588767534514412,0.96131432566787,-0.5074654663475633,0.6553647393024704,-229.1446970804533,0.2854183287610994,0.060850768820763776
TC_ME,-0.9919010322218961,-0.6844553754888375,-30.995598022956845,0.1461811066905843,0.19691302024432222,-1.3311676380836508,-0.16572147870225543,-87.55066800295506,0.03444981859669915,0.7362174407153035
TC_EE,-0.7531814650798588,-0.5198185460466466,-30.98362477739267,0.22807216030764565,0.28711142556381164,-0.7863026904902858,0.3582957092895183,-145.56714782014913,0.15232506631571055,0.3958342673748936
TC_GR,0.22833664570118256,0.7504543553609896,228.6613732353269,0.717108092096576,0.14333499539888792,-1.2891736927159299,-0.03610318869539007,-97.19950935243406,0.06465514849150915,0.9525032682003545
TC_OT,1.0282216137189903,1.6086867965200808,56.453314641149895,0.2458854601025564,0.04146985740364071,-0.3197793058812966,0.905868234310946,-383.2791921335923,0.7361458931386665,0.29502538566185166
ForProf,-0.28563224784948055,-0.188659909138795,-33.95006671718209,0.28600915780418934,0.4358094505957405,-1.1342059838067835,-0.8945859755080714,-21.126674671073886,2.316761016795018e-06,8.167368065214371e-05
awardAmount,0.17650668124088095,0.10681581784016035,-39.48341383497692,0.03344162769315071,0.12434266569889565,0.11759652838229484,0.16193102171560275,37.70051203312805,0.12001122522496402,0.012066129946877646
