,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
awardAmount,0.0483627715434495,0.14332781599368308,196.35980614741283,0.7683606253983455,0.05450032779891757,0.4052647863358543,0.22610724593289094,-44.20752713868668,0.00430058739409861,0.0011363777006819823
TC_TF,-0.6960639893765371,-1.0930968383545294,57.03970540605235,0.2806944260845835,0.010409834670531404,0.663027773229334,-0.3868252685536792,-158.34224208581992,0.23905159805370968,0.30999049270304224
TC_DG,-1.447490339128629,-1.2787480547388625,-11.657575862740964,0.053482627395005776,0.005661174221735651,0.5564898513900508,-0.11419122428156807,-120.51991136879332,0.36123340618579325,0.7692283431011081
TC_TS,-1.4721778275625979,-1.5056936865486417,2.276617563350627,0.09777777211971794,0.00468925305956191,-0.8853046489774268,0.10160407977123777,-111.47673627249058,0.194572864391101,0.7955900232886995
TC_BE,-1.5925803605221482,-0.31928728418598884,-79.95157468340835,0.1477665850609216,0.5371759243288832,0.17945218992356882,-0.1502239292099312,-183.71250820283313,0.8432863967660187,0.7639684149255002
TC_RE,-0.5474354365830646,-0.3104960199306321,-43.281709735734424,0.41526319619759056,0.4569456571098527,0.16539994072349481,0.11526157720643605,-30.313410813657374,0.7873846023186275,0.7675349081894153
TC_ME,-1.502162181907512,-1.097583317318644,-26.933101462793836,0.1271737623082239,0.0646622765372933,-0.2094915735112587,-0.8228028402322589,292.76178341752683,0.8039594579440968,0.13643812713987397
TC_EE,-1.5087510946536984,-0.8436697227139651,-44.08158339016075,0.059931898174532275,0.10120348904183991,-0.48520720047761584,-0.13016851438389174,-73.17259219241599,0.48861156410238293,0.7757407929802629
TC_GR,-0.15186536556308405,0.38766479573707985,-355.26873378910483,0.8755589584967334,0.5030589094138672,-0.4420319613355082,-0.5996239065376202,35.65170824434969,0.6894497672420603,0.3627082044324139
TC_OT,-1.0288153438517158,0.9582600756551009,-193.14208632110137,0.5003549937376719,0.25655478931168585,-0.8644495485331012,0.13656696542890545,-115.7981417956257,0.5980815908022938,0.8822066244328804
StartupForProf,0.16694574947738822,0.11283427907117904,-32.41260743421218,0.6873553368297334,0.7755560154510932,-1.7828915335629951,-1.6477173957753852,-7.581736479362432,0.00015068133722183553,0.00021311832279973121
OtherForProf,-0.4275551467228882,-0.44921069969682276,5.064973054334487,0.1398452409318982,0.10295827647614014,-1.037964403180287,-0.8769814207759785,-15.509489719595608,5.157862850127342e-05,0.0003710362673062143
middle,0.34645291258440186,0.22404524005727694,-35.331690997778615,0.2878697651114993,0.4423547754325273,0.36938303404465544,0.3803510513703298,2.9692802091036015,0.19676110215393083,0.14636188521102286
late,1.2376645656162555,1.0877424996707807,-12.113303564671892,0.00286031178717052,0.005057798930243831,1.1060177007917043,1.1557690943660848,4.498245691616664,0.004224312824714589,0.0016453670862244902
OPEN,0.018397838731929742,-0.0213127604719899,-215.84382699801182,0.9488568649011042,0.9384662559195625,-0.14091381250509083,-0.06643214651509279,-52.85618539865084,0.5890041385396357,0.7909648287272574
