,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
TC_TF,-0.7673692158317366,-0.7127309026199177,-7.120211768281255,0.04665671720721673,0.05663493991266203,0.014111569191700547,0.06474015238144468,358.7735885497438,0.9668280106880491,0.8426717022969498
TC_DG,-0.8873729123155883,-0.8267921820548358,-6.826975380921631,0.029652633244034644,0.035835231283425896,0.3944198914924781,0.450298609719683,14.167317478781511,0.23064148789306504,0.14942434287662698
TC_TS,-1.268582750288047,-1.2357791226119488,-2.585848472923794,0.012641422769300439,0.014485765258332001,0.3981017703744424,0.4299453146769926,7.998845187902365,0.26747182373332357,0.224435528825222
TC_BE,-0.00474429736928319,0.025794174169442307,-643.6879723527852,0.9921790086286056,0.9572204758250731,0.3458286202873263,0.374937746872685,8.417211554432317,0.4575013345142329,0.4170520641065568
TC_RE,-0.026757711612600682,0.01839390469171584,-168.74244314320896,0.9449101209126081,0.9613143256678695,0.6134249031110866,0.6553647393024705,6.8369960167380075,0.08669164639227699,0.060850768820763686
TC_ME,-0.7325279303947368,-0.6844553754888373,-6.562555898721123,0.17257060494069787,0.19691302024432222,-0.21012816628561892,-0.16572147870225515,-21.133143818046513,0.673492995903846,0.7362174407153039
TC_EE,-0.5630618177718876,-0.5198185460466466,-7.680022043824695,0.25443292950474117,0.28711142556381164,0.3164117331490655,0.3582957092895185,13.237175411798308,0.46141099583396883,0.39583426737489347
TC_GR,0.6979767208198587,0.7504543553609899,7.5185365035512675,0.1799640670936915,0.14333499539888772,-0.08380240551023854,-0.03610318869538972,-56.918672589918884,0.8910449245863732,0.9525032682003549
TC_OT,1.5396919508654665,1.6086867965200815,4.4810811419669205,0.05351389902264781,0.04146985740364064,0.8427640885071574,0.9058682343109465,7.4877592275638545,0.33331699463051767,0.2950253856618513
ForProf,-0.20716308237088932,-0.18865990913879518,-8.93169430592244,0.3970545390953094,0.43580945059574017,-0.907827891320394,-0.8945859755080715,-1.4586372526033236,7.081418147676626e-05,8.167368065214501e-05
awardAmount,0.10880816037581899,0.10681581784016032,-1.8310598476963436,0.1195647679365882,0.12434266569889595,0.16433607416677884,0.16193102171560267,-1.4634963524413809,0.011447555021541147,0.012066129946877708
