Program,Program Targets,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Comments
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Agrivida,ALUMNI,For-profit,1/15/10,3/31/15,Transportation Fuels,https://agrivida.com/,https://arpa-e.energy.gov/?q=slick-sheet-project/engineering-enzymes-energy-crops,,Engineering Enzymes in Energy Crops,Perish,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Algaeventure Systems (AVS),ALUMNI,For-profit,1/15/10,1/31/12,Transportation Fuels,Website doesn't work,https://www.bizjournals.com/columbus/news/2012/02/13/algaeventures-makes-move-to.html,https://www.biosortia.com/,Fuel from Algae,Perish,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Arizona State University (ASU),ALUMNI,Non-profit,1/1/10,6/30/13,Transportation Fuels,https://biodesign.asu.edu/rosa-krajmalnik-brown/bioenergy-applications,https://www.osti.gov/servlets/purl/1178659,,Turning Bacteria into Fuel,Persist,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Bio Architecture Lab,ALUMNI,For-profit,4/30/12,6/30/13,Transportation Fuels,Website doesn't work,,,Macroalgae Butanol,Perish,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Ceres,ALUMNI,For-profit,1/1/10,12/31/13,Transportation Fuels,Website doesn't work,http://hayandforage.com/article-780-land-o'lakes-acquires-ag-biotech-developer-ceres-inc.html,https://www.landolakesinc.com/lolinc/media/Pdf/Press%20Releases/2016/6-17-16.pdf,Improving Biomass Yields,Perish,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Exelus,ALUMNI,For-profit,12/1/09,5/31/12,Transportation Fuels,http://www.exelusinc.com/,https://investors.kbr.com/investors/press-releases/Press-Release-Details/2015/KBR-and-EXELUS-Sign-Technology-Licensing-Agreement/default.aspx,,High-Octane Fuel from Refinery Exhaust Gas,Persist,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,General Electric (GE) Global Research,ALUMNI,For-profit,10/1/10,9/30/13,Transportation Vehicles,https://www.technologyreview.com/s/422459/new-magnets-could-solve-our-rare-earth-problems/,https://www.sciencedirect.com/science/article/abs/pii/S0304885314011937,https://patents.google.com/patent/US9373433B2/en,Nanocomposite Magnets,Persist,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,,Research Triangle Institute (RTI),ALUMNI,Non-profit,1/1/10,9/30/13,Transportation Fuels,https://www.rti.org/,,,Biofuels from Pyrolysis,Persist,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,,University of Delaware (UD),ALUMNI,Non-profit,2/15/10,9/30/13,Transportation Vehicles,https://web.physics.udel.edu/about/directory/faculty/george-c-hadjipanayis,https://pdf.sciencedirectassets.com/271906/1-s2.0-S1359646212X00149/1-s2.0-S1359646212002072/main.pdf?x-amz-security-token=AgoJb3JpZ2luX2VjEI7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQC8tRv4EqhkKFC5Haz56KbjwMBFLd%2FX0EPq0GmXVZavGAIgN6AZnf64M8qGGTdiaT4bO%2BoTG5vpmhTqn4nU9WP1Hh8q2gMIdhACGgwwNTkwMDM1NDY4NjUiDM0peETpQpx0rPme3Cq3A%2Flr3oOmKkIy7IbyswdVJ2YIT0dUO6VtIJXOHrYjRFaRnUootBg8qyWmSAVi7wr4bVsmZeyq4bSEAeeLnUdmMxHd89esTgwCpYPIXIhqJS1k0AUuNc4SAaU3Jl8bKgpkrkLoqkcB29s4qWRCjUIU8C%2FlY%2Fpbit6baTPGpGZCYw0pgaAGkh2cgl35o0AuJIuFLHZvm%2FN7F%2BtmuARZEkTCl88PqMfS3rraRiaUlTt%2BOyImDQIod%2FGiB9ARTxMGzNp%2FPSMFEomfTy67WkBZ0jPBK%2Bzw89rwW23W%2Fld76o4RvquDfY6OYtCpRXFemz3vKJcikEu80Aqty3zhP5itwer%2BHm1UGVXxeVkhbqnW2r9ibTDsCRAPJr06xZX058P%2FZenMrGrVcY2IyaFdzWykSDlAwMy4s%2FCWFq5SFzZUhwQ94btjRKAsQ06B9MVS5kx%2F7L2J8Vwa4j5pTsS76vHBBt26nuHAqOKfjLyTOpaIzLmg2x7AlYj48GJlh%2FMTfICGGNFoVaBLKMH0jQoseZ8VCFi6UMTcYc05cwzRC3iXLiwS%2BzYABUeWWk8fKmOZddAHc%2BM9tyWXicpc4acwqZeh5gU6tAFE0PWmYNlNW1Z%2F8fkAR3e431C1DrafCLJpMHBZoRYhGjKaZ5%2FaxC%2BjFzcQvy03Ep6xhxWVAiSoGWjL3eNustSeiYFrV6Ka03UG3%2F9YO%2B2qdofMiAXoZ1sThqjNbJthmI7PPFy%2FqOvs9OzdCilfzbKKXFe19inBTMrYpPtfdsAw9%2BwysUG%2BFJAnHip6mp26ox2nbbrSzKLzXZDyeag8WSelPiVswa40ZWjEPzzxMDeEi8hCqzg%3D&AWSAccessKeyId=ASIAQ3PHCVTY7SL5KEMB&Expires=1556636321&Signature=55xCQzy9SOkyiiSVCh6bqDS221U%3D&hash=216cecdf9acaa544b200125ce4710246349c0d0a8f8c13780467052d17f536e3&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1359646212002072&tid=spdf-1deb5148-1271-4177-b656-14bc040b1f04&sid=449cd9344a60614fbd0ac04-0f5bdb3d2f47gxrqa&type=client,https://www.osti.gov/servlets/purl/1110789,High-Energy Composite Permanent Magnets,Persist,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,,University of Minnesota (UMN),ALUMNI,Non-profit,1/1/10,8/31/12,Transportation Fuels,https://cbs.umn.edu/wackett-lab/home,https://cbs.umn.edu/wackett-lab/research,,Biofuel from Bacteria and Sunlight,Perish,
