Total project count,To-do list,Program,Program FOA,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Comments
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Arizona State University (ASU),ALUMNI,Non-profit,12/21/09,6/30/12,Transportation Storage,https://nantenergy.com/,,,Metal-Air Electric Vehicle Battery,Pivot,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Envia Systems,ALUMNI,For-profit,1/1/10,12/31/11,Transportation Storage,Website doesn't work,https://www2.greencarreports.com/news/1089261_collapse-of-battery-startup-envia-what-really-happened,,Long-Range Electric Vehicle Batteries,Perish,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,FastCAP Systems,ALUMNI,For-profit,4/1/10,12/31/13,Transportation Storage,https://www.nanoramic.com/,,,High Energy Density Ultracapacitors,Persist,"Still selling caps, but focus seems to have shifted to batteries https://go.nanoramic.com/fastcap-chip-cap-spec-sheet"
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009,Inorganic Specialists,CANCELLED,For-profit,12/1/09,11/3/11,Transportation Storage,Website doesn't work,"https://www.google.com/maps/place/Inorganic+Specialists/@39.6325777,-84.2885025,15z/data=!4m5!3m4!1s0x0:0x612f24de4982f2f0!8m2!3d39.6325777!4d-84.2885025",,Long-Range Li-Ion Batteries for Electric Vehicles,Perish,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Ceramatec,ALUMNI,For-profit,2/1/13,3/31/17,Transportation Storage,Website doesn't work,https://pubs.rsc.org/en/content/articlepdf/2018/ee/c7ee03595k,,Mid-Temperature Fuel Cells for Vehicles,Pivot,"Ceramatec company seems to have dropped funding, but project PI now at https://oxeonenergy.com"
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,3/20/13,3/19/16,Transportation Storage,https://industry.gatech.edu/technology/graphene-based-supercapacitors,,,Graphene-Based Supercapacitors,Pivot,"Can't find anything selling this? PI published on graphene supercaps in 2018, but has since moved on"
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Palo Alto Research Center (PARC),ALUMNI,For-profit,3/1/13,6/11/14,Transportation Storage,https://www.parc.com/technologies/coextrusion/,https://www.energy.gov/sites/prod/files/2016/06/f32/es266_cobb_2016_o_web.pdf,https://patents.google.com/patent/US9755221B2/en,Innovative Manufacturing Process for Li-Ion Batteries,Persist,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Tai-Yang Research Company (TYRC),ALUMNI,For-profit,2/15/13,3/6/17,Transportation Storage,http://www.tai-yang.com/,,,"High-Power, Low-Cost Superconducting Cable",Pivot,"nothing seems to have resulted, not listed in products"
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,"University of California, Santa Barbara (UCSB)",ALUMNI,Non-profit,3/15/13,6/30/16,Transportation Storage,,,,Boosted Capacitors,Pivot,"hasn't published since 2015, nothing came about"
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,"University of Nevada, Las Vegas (UNLV)",ALUMNI,Non-profit,2/14/13,2/13/16,Transportation Storage,https://scholar.google.com/citations?hl=en&user=xhrYzgsAAAAJ&view_op=list_works&sortby=pubdate,https://patents.google.com/patent/US20170275172A1/en,,Fire-Resistant Solid Electrolytes,Pivot,PI has moved on
