,Unnamed: 0,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount
0,0,24M Technologies ,"24M Technologies will lead a team to develop low cost, durable, enhanced separators/solid state electrolytes to build batteries using a lithium metal anode. Using a polymer/solid electrolyte ceramic blend, 24M will be able to make a protective layer that will help eliminate side reactions that have previously contributed to performance degradation and provide a robust mechanical barrier to branchlike metal fibers called dendrites. Unimpeded, dendrites can grow to span the space between the negative and positive electrodes, causing a short-circuit. The resulting, large-area lithium electrode sub-assemblies, or LESAs, will be cost-effective solutions that are scalable to high-volume manufacturing while providing a toolbox to further tailor electrode performance.

",1/2/2020,IONICS,ACTIVE,?q=slick-sheet-project/lithium-electrode-sub-assemblies,1/3/2017,Massachusetts,Lithium Electrode Sub-Assemblies,Storage,Transportation Storage,3484674
1,1,3M,"3M will develop a new anion exchange membrane (AEM) technology with widespread applications in fuel cells, electrolyzers, and flow batteries. Unlike many proton exchange membrane (PEM) applications, the team's AEM will operate in an alkaline environment, which means lower-cost electrodes can be used. The team plans to engineer a membrane that simultaneously meets key goals for resistance, mechanical and chemical stability, and cost. They will do this by focusing on simple, hydroxide-stable polymers, such as polyethylene, and stable cations, such as tetraalkylammonium and imidazolium groups. Positively-charged cation side chains attached to the polymer backbone will facilitate passage of hydroxide ions through the electrolyte, resulting in enhanced ionic conductivity. The proposed polymer chemistry is envisioned to be low cost and can be used in alkaline environments, and can be processed into mechanically robust membrane composites. This membrane technology has the potential to enable high volume, low-cost production of AEMs. The impact of this project can be transformational as the commercial availability of high-quality AEMs has been a limiting factor in developing AEM-based devices.

",1/1/2020,IONICS,ACTIVE,?q=slick-sheet-project/polymeric-anion-exchange-membranes,1/2/2017,Minnesota,Polymeric Anion Exchange Membranes,Storage,Transportation Storage,2300000
2,2,Achates Power,"The team led by Achates Power will develop an internal combustion engine that combines two promising engine technologies: an opposed-piston (OP) engine configuration and gasoline compression ignition (GCI). Compression ignition OP engines are inherently more efficient than existing spark-ignited 4-stroke engines (potentially up to 50% higher thermal efficiency using gasoline) while providing comparable power and torque, and showing the potential to meet future tailpipe emissions standards. GCI uses gasoline or gasoline-like fuels in a compression ignition engine to deliver thermal efficiency on par with diesel combustion. However, unlike conventional diesel engines, this technology does not require the added expense of high-pressure fuel injection equipment and sophisticated aftertreatment systems. The OP/GCI engine technology is adaptable to a range of engine configurations and can be used in all types of passenger vehicles and light trucks. By successfully combining the highly fuel efficient architecture of the OP engine with the ultra-low emissions GCI technology, the resulting engine could be transformational, significantly reducing U.S. petroleum consumption and carbon dioxide.

",7/13/2019,OPEN 2015,ACTIVE,?q=slick-sheet-project/efficient-engine-design,4/1/2016,California,Efficient Engine Design,Transportation Vehicles, ,9009265
3,3,Adaptive Surface Technologies,"Adaptive Surface Technologies is developing a slippery coating that can be used for a number of technology applications including oil and water pipelines, wastewater treatment systems, solar panels (to prevent dust accumulation), refrigeration (to prevent ice buildup), as well as many other energy-relevant applications. Contamination, build-up of microorganisms, and corrosion of untreated surfaces can lead to inefficiencies in the system. Adaptive Surface Technologies' liquid-based coating is tailored to adhere to and then spread out evenly over a rough surface, forming a completely smooth surface that inhibits buildup. Since it is liquid-based, it can easily repair itself if scratched or damaged, resulting in a stable coating with the potential to significantly outperform conventional technologies, such as Teflon, in friction and drag reduction and in repelling a broad range of contaminants.

",9/7/2019,OPEN 2012,ACTIVE,?q=slick-sheet-project/slippery-coatings-promote-energy-conversion,4/26/2013,Massachusetts,Slippery Coatings to Promote Energy Conversion,Transportation Fuels, ,5701998
4,4,Adroit Materials,"Adroit Materials?will develop a gallium nitride (GaN) selective area doping process to enable high-performance, reliable GaN-based, high-power switches which are promising candidates for future high efficiency, high power electronic applications.. Specifically, doping capabilities that allow for the creation of localized doped regions must be developed for GaN in order to reach its full potential as a power electronics semiconductor. Adroit's process will focus on implantation of magnesium ions and an innovative high temperature, high pressure activation anneal, or heat treatment, process to remove implantation damage and control performance-reducing defects. By developing an in-depth understanding of the ion implantation doping process, the team will be able to demonstrate usable and reliable planar and embedded p-n junctions, the principal building block of modern electronic components like transistors.

",9/12/2019,PNDIODES,ACTIVE,?q=slick-sheet-project/selective-area-doping-gan-power-devices,9/13/2017,North Carolina,Selective Area Doping for GaN Power Devices,Electrical Efficiency, ,1022920
5,5,Air Square,"Air Squared?with partners at Argonne National Laboratory, Purdue University, and Mississippi State University, will develop an advanced internal combustion engine (ICE) integrated with an organic Rankine cycle (ORC) for waste heat recovery. The ICE will use spark-assisted compression ignition (SACI) combustion, a turbulent jet ignition (TJI) fueling system, a high compression ratio, and aggressive exhaust gas recirculation to deliver a higher thermal efficiency with low emissions. Traditional internal combustion engines use the force generated by the combustion of a fuel (e.g. natural gas) to move a piston, transferring chemical energy to mechanical energy. This can then be used in conjunction with a generator to create electricity. SACI is an advanced combustion technique that uses a homogeneous mixture of fuel and air with spark assist to enable higher thermal efficiencies and lower emissions. The TJI combustion system further increases thermal efficiency by enabling reliable SACI combustion even with ultra-lean mixtures (i.e. high air to fuel ratio). The ORC design uses mostly the same components of a traditional Rankine cycle, but uses an ammonia/water mixture instead of steam, combined with a novel oil-free scroll expander.
",10/30/2019,GENSETS,ACTIVE,?q=slick-sheet-project/high-efficiency-generator-system,5/1/2016,Colorado,High Efficiency Generator System,Distributed Generation, ,3225000
6,6,American Superconductor (AMSC),"American Superconductor (AMSC) is developing a freezer that does not rely on harmful refrigerants and is more energy efficient than conventional systems. Many freezers are based on vapor compression, in which a liquid refrigerant circulates within the freezer, absorbs heat, and then pumps it out into the external environment. Unfortunately, these systems can be expensive and inefficient. ITC's freezer uses helium gas as its refrigerant, representing a safe, affordable, and environmentally friendly approach to cooling. ITC's improvements to the Stirling cycle system could enable the cost-effective mass production of high-efficiency freezers without the use of polluting refrigerants. ITC received a separate award of up to $1,766,702 from the Department of the Navy to help decrease military fuel use.

",10/31/2019,BEETIT,ACTIVE,?q=slick-sheet-project/high-efficiency-air-conditioner,5/20/2014,Massachusetts,High-Efficiency Air Conditioner,Building Efficiency, ,4137756
7,7,American Superconductor (AMSC),"American Superconductor (AMSC) in collaboration with team members Qnergy, Alcoa Howmet, Gas Technology Institute (GTI), MicroCogen Partners, and A.O. Smith Corporation will develop a Free-Piston Stirling engine (FPSE) powered by an ultra-low-emissions natural gas burner for micro-CHP applications. A Stirling engine uses a working gas housed in a sealed environment, in this case the working gas is helium. When heated by the natural gas-fueled burner, the gas expands causing a piston to move and interact with a linear alternator to produce electricity. As the gas cools and contracts, the process resets before repeating again. Advanced Stirling engines endeavor to carefully manage heat inside the system to make the most efficient use of the natural gas energy. The ITC design features free-piston architecture using flexure bearings thus eliminating rubbing parts and allowing for long system life under continuous use. The team will also develop novel materials that enable high-temperature engine operation, further increasing the efficiency of the system.

",10/31/2019,GENSETS,ACTIVE,?q=slick-sheet-project/sustainable-economic-mchp-stirling-sems-generator,11/30/2015,Massachusetts,Sustainable Economic mCHP Stirling (SEmS) Generator,Distributed Generation, ,4008019
8,8,Antora Energy,"el-panel panel-col-middle"">
<div class=""inside"">
",12/31/2021,DAYS,ACTIVE,?q=slick-sheet-project/more-information-antoras-project-coming-soon,1/1/2019,California,More information on Antora's project is coming soon!,"></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term:?</div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2019-01-01T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">01/01/2019</span> to <span class=""date-display-end"" content=""2021-12-31T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">12/31/2021</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status:?</div><div class=""field-items""><div class=""field-item even"">ACTIVE</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State:?</div><div class=""field-items""><div class=""field-item even"">California</div></div></div></div>
</div", ,2124639
9,9,Arizona State University (ASU),"Arizona State University (ASU) and its partners will develop new windowpanes for single-pane windows to minimize heat losses and improve soundproofing without sacrificing durability or transparency. The team from ASU will produce a thermal barrier composed of silicon dioxide nanoparticles deposited on glass by supersonic aerosol spraying. The layer will minimize heat losses and be transparent at a substantially lower cost than can be done presently with silica aerogels, for example. A second layer deposited using the same method will reflect thermal radiation. The windowpanes will also incorporate layers of dense polymers to control condensation and adhesion, while improving strength. The coating is designed to last more than 20 years and be resistant to damage from scratching, peeling, or freezing of water vapor within the pores of the silica layer.

",12/12/2019,SHIELD,ACTIVE,?q=slick-sheet-project/insulating-particulate-coatings,12/13/2016,Arizona,Insulating Particulate Coatings,Building Efficiency, ,2197800
