,Unnamed: 0,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,costTarget,recipientType,Partners,coder1,coder2,coder3,coder4,coder5,coder1notes,coder2notes,coder3notes,coder4notes,coder5notes,dummyCoder,FinalDecision,Notes,counter,endYr,startYr,yrGrp,early,middle,late,dum09,dum10,dum11,dum12,dum13,dum14,dum15,dum16,dum17,dum18,ForProf,TC_TF,TC_DG,TC_TS,TC_SS,TC_BE,TC_RE,TC_ME,TC_CG,TC_EE,TC_GR,TC_TV,TC_TN,TC_OT
0,0,1366 Technologies,"1366 Technologies is developing a process to reduce the cost of solar electricity by up to 50% by 2020--from $0.15 per kilowatt hour to less than $0.07. 1366's process avoids the costly step of slicing a large block of silicon crystal into wafers, which turns half the silicon to dust. Instead, the company is producing thin wafers directly from molten silicon at industry-standard sizes, and with efficiencies that compare favorably with today's state-of-the-art technologies. 1366's wafers could directly replace wafers currently on the market, so there would be no interruptions to the delivery of these products to market. As a result of 1366's technology, the cost of silicon wafers could be reduced by 80%.

",2012-06-30,OPEN 2009,ALUMNI,?q=slick-sheet-project/cost-effective-silicon-wafers-solar-cells,2010-03-01,Massachusetts,Cost-Effective Silicon Wafers for Solar Cells,Distributed Generation, ,3.999828,1.0,No,For-profit,1,Pivot,Pivot,blank,blank,blank,,,blank,blank,blank,blank,Pivot,,0,2.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,24M Technologies,"Scientists at 24M Technologies are crossing a Li-Ion battery with a fuel cell to develop a semi-solid flow battery. This system relies on some of the same basic chemistry as a standard Li-Ion battery, but in a flow battery the energy storage material is held in external tanks, so storage capacity is not limited by the size of the battery itself. The design makes it easier to add storage capacity by simply increasing the size of the tanks and adding more paste. In addition, 24M's design also is able to extract more energy from the semi-solid paste than conventional Li-Ion batteries. This creates a cost-effective, energy-dense battery that can improve the driving range of EVs or be used to store energy on the electric grid.
",2014-02-28,BEEST,ALUMNI,?q=slick-sheet-project/semi-solid-flowable-battery-electrodes,2010-09-01,Massachusetts,Semi-Solid Flowable Battery Electrodes,Transportation Storage, ,5.975331,0.0,Yes,For-profit,1,Pivot,blank,blank,blank,blank,https://arpa-e.energy.gov/?q=slick-sheet-project/semi-solid-flowable-battery-electrodes,blank,blank,blank,blank,blank,Pivot,https://arpa-e.energy.gov/?q=slick-sheet-project/semi-solid-flowable-battery-electrodes,0,4.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,ABB,"ABB is developing an advanced energy storage system using superconducting magnets that could store significantly more energy than today's best magnetic storage technologies at a fraction of the cost. This system could provide enough storage capacity to encourage more widespread use of renewable power like wind and solar. Superconducting magnetic energy storage systems have been in development for almost 3 decades; however, past devices were designed to supply power only for short durations--generally less than a few minutes. ABB's system would deliver the stored energy at very low cost, making it ideal for eventual use in the electricity grid as a cost-effective competitor to batteries and other energy storage technologies. The device could potentially cost even less, on a per kilowatt basis, than traditional lead-acid batteries.
",2014-06-30,GRIDS,ALUMNI,?q=slick-sheet-project/magnetic-energy-storage-system,2010-10-01,North Carolina,Magnetic Energy Storage System,Storage, ,4.58002,0.0,Yes,For-profit,1,Pivot,blank,blank,blank,Persist,Don't see anything about magnetic systems on their website,blank,blank,blank,ABB is still in the game,blank,Pivot,Don't see anything about magnetic systems on their website,0,4.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,3,Abengoa Solar,"Abengoa Solar is developing a high-efficiency solar-electric conversion tower to enable low-cost, fully dispatchable solar energy generation. Abengoa's conversion tower utilizes new system architecture and a two-phase thermal energy storage media with an efficient supercritical carbon dioxide (CO<sub>2</sub>) power cycle. The company is using a high-temperature heat-transfer fluid with a phase change in between its hot and cold operating temperature. The fluid serves as a heat storage material and is cheaper and more efficient than conventional heat-storage materials, like molten salt. It also allows the use of a high heat flux solar receiver, advanced high thermal energy density storage, and more efficient power cycles.

",2014-07-31,HEATS,ALUMNI,?q=slick-sheet-project/conversion-tower-dispatchable-solar-power,2012-01-11,Colorado,Conversion Tower for Dispatchable Solar Power,Storage, ,1.5552,0.0,Yes,For-profit,1,Pivot,blank,blank,blank,Persist,keep redesigning collector system,blank,blank,blank,,blank,Pivot,keep redesigning collector system,0,4.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4,ADMA Products,"ADMA Products is developing a foil-like membrane for air conditioners that efficiently removes moisture from humid air. ADMA Products' metal foil-like membrane consists of a paper-thin, porous metal sheet coated with a layer of water-loving molecules. This new membrane allows water vapor to permeate across the membrane at high fluxes, at the same time blocking air penetration and resulting in high selectivity. The high selectivity of the membrane translates to less energy use, while the high permeation fluxes result in a more compact device. The new materials and the flat foil-like nature of the membrane facilitate the mass production of a low-cost compact dehumidification device. ADMA received a separate award of up to $466,176 from the Department of the Navy to help decrease military fuel use.
",2014-07-31,BEETIT,ALUMNI,?q=slick-sheet-project/membrane-dehumidifier,2010-09-01,Ohio,Membrane Dehumidifier,Building Efficiency, ,3.380389,0.0,Yes,For-profit,1,Pivot,blank,Persist,blank,blank,"Make the material, but limited product development",blank,also operates in other markets,blank,blank,blank,Persist,,0,4.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,Advanced Cooling Technologies (ACT),"Advanced Cooling Technologies (ACT) will work with Lehigh University, the University of Missouri, and Evapco, Inc. to design and build a novel cool storage system that will increase the efficiency of a plant's dry-cooling system. During the day, the system will transfer waste heat from the plant's heated condenser water via an array of heat pipes to a cool storage unit containing a phase-change material (PCM). The planned PCMs are salt hydrates that can be tailored to store and release large amounts of thermal energy, offering a way to store waste heat until it can be efficiently rejected. When temperatures are lower, such as at night, a novel system of self-agitated fins will be used to promote mixing and enhance heat transfer to air. The effectiveness of the fins will allow a reduction in the size of the storage media and the power required to operate it, both of which could lower costs for the system. Because the PCM materials are salts, their storage temperature can be tuned by changing the water content. Therefore, the storage system can potentially be customized to provide supplemental dry cooling for different climates, including regions with high ambient temperatures, such as the southwestern United States.
",2018-12-31,ARID,ALUMNI,?q=slick-sheet-project/cool-storage-supplemental-cooling,2015-08-15,Pennsylvania,Cool Storage for Supplemental Cooling,Resource Efficiency, ,3.202001,0.0,Yes,For-profit,1,Pivot,blank,Pivot,blank,blank,"Some research papers for power generator applications, but in 2018 aquired a pumped two-phase cooling business for industrial and defense power electronics",blank,"mention mostly industrial applications, whereas initial bid was for power plants",blank,blank,blank,Pivot,"Some research papers for power generator applications, but in 2018 aquired a pumped two-phase cooling business for industrial and defense power electronics",0,8.0,6.0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,6,Aeris Technologies,"Aeris Technologies will partner with Rice University and Los Alamos National Laboratory to develop a complete methane leak detection system that allows for highly sensitive, accurate methane detection at natural gas systems. The team will combine its novel compact spectrometer based on a mid-infrared laser, its patent-pending multi-port sampling system, and an advanced computational approach to leak quantification and localization. Their approach will use artificial neural networks and dispersion models to quantify and locate leaks with increased accuracy and reduced computational time for use in a diverse range of meteorological conditions and wellpad configurations. At each wellpad, a control unit will house the core sensor, a computing unit to process data, and wireless capability to transmit leak information to an operator, while the multi-port gas-sampling system will be distributed across the wellpad. Aeris' goal is to be able to detect and measure methane leaks smaller than 1 ton per year from a 10 meter by 10 meter site. At this level of sensitivity, which is in the ppb range, Aeris estimates that its system can facilitate a 90% reduction in fugitive methane emissions. Compared to current monitoring systems that can cost $25,000 annually, Aeris' goal is a cost of $3,000 or less a year to operate.

",2018-08-26,MONITOR,ALUMNI,?q=slick-sheet-project/methane-leak-detection-system-0,2015-04-15,California,Methane Leak Detection System,Resource Efficiency, ,2.494131,0.0,No,For-profit,1,Persist,blank,Persist,blank,blank,,blank,,blank,blank,blank,Persist,,0,8.0,6.0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,7,Aerodyne Research,"Aerodyne Research?with partners from Stony Brook University, Precision Combustion, Inc., and C-K Engineering, Inc. will design and build a CHP generator based on a small single-cylinder, two-stroke free-piston internal combustion engine. Similar to an automotive internal combustion engine, the proposed system follows the same process: the combustion of natural gas fuel creates a force that moves a piston, transferring chemical energy to mechanical energy used in conjunction with a linear alternator to create electricity. The free-piston configuration used here, instead of a traditional slider-crank mechanism, has the potential to achieve high electrical conversion efficiency. Their design also includes a double-helix spring that replaces the crankshaft flywheel in conventional engines and can store 5-10 times the work output of the engine cycle and operates at high frequency, which is key to high energy density, compact size, low weight, and low cost. The system will also incorporate low temperature, glow plug-assisted homogeneous charge compression ignition (HCCI) combustion, which reduces heat loss from the engine and further increases efficiency.
",2018-12-31,GENSETS,ALUMNI,?q=slick-sheet-project/single-cylinder-two-stroke-free-piston-internal-combustion-generator,2015-11-01,Massachusetts,Single-Cylinder Two-Stroke Free-Piston Internal Combustion Generator,Distributed Generation, ,2.55559,0.0,Yes,For-profit,1,Perish,Persist,blank,blank,blank,"Were looking to license/deploy in homes, doesnt seem like that's happening (no patent licensee)",Still publishing,blank,blank,blank,blank,Perish,x,0,8.0,6.0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,8,Agrivida,"Enzymes are required to break plant biomass down into the fermentable sugars that are used to create biofuel. Currently, costly enzymes must be added to the biofuel production process. Engineering crops to already contain these enzymes will reduce costs and produce biomass that is more easily digested. In fact, enzyme costs alone account for $0.50-$0.75/gallon of the cost of a biomass-derived biofuel like ethanol. Agrivida is genetically engineering plants to contain high concentrations of enzymes that break down cell walls. These enzymes can be ""switched on"" after harvest so they won't damage the plant while it's growing.

",2015-03-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/engineering-enzymes-energy-crops,2010-01-15,Massachusetts,Engineering Enzymes in Energy Crops,Transportation Fuels, ,6.562292,1.0,No,For-profit,0,Pivot,blank,blank,Perish,blank,,blank,blank,,blank,blank,Perish,,0,5.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,Alcoa,"Alcoa is designing a new, electrolytic cell that could significantly improve the efficiency and price point of aluminum production. Conventional cells reject a great deal of waste heat, have difficulty adjusting to electricity price changes, and emit significant levels of CO<sub>2</sub>. Alcoa is addressing these problems by improving electrode design and integrating a heat exchanger into the wall of the cell. Typically, the positive and negative electrodes--or anode and cathode, respectively--within a smelting cell are horizontal. Alcoa will angle their cathode, increasing the surface area of the cell and shortening the distance between anode and cathode. Further, the cathode will be protected by ceramic plates, which are highly conductive and durable. Together, these changes will increase the output from a particular cell and enable reduced energy usage. Alcoa's design also integrates a molten glass (or salt) heat exchanger to capture and reuse waste heat within the cell walls when needed and reduce global peak energy demand. Alcoa's new cell design could consume less energy, significantly reducing the CO<sub>2</sub> emissions and costs associated with current primary aluminum production.

",2018-07-20,METALS,ALUMNI,?q=slick-sheet-project/aluminum-electrolytic-cell-heat-recovery,2014-03-31,Pennsylvania,Aluminum Electrolytic Cell with Heat Recovery,Manufacturing Efficiency, ,4.267218,0.0,Yes,For-profit,1,Pivot,blank,blank,blank,Persist,,blank,blank,blank,biggest ARPA-e win to date?! https://www.lightmetalage.com/news/industry-news/smelting/elysis-starts-construction-on-its-smelting-technology-research-and-development-center/,blank,Pivot,,0,8.0,5.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
