Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
OPEN 2009,1366 Technologies,ALUMNI,For-profit,3/1/10,6/30/12,Distributed Generation,Cost-Effective Silicon Wafers for Solar Cells,Pivot,
OPEN 2009,Agrivida,ALUMNI,For-profit,1/15/10,3/31/15,Transportation Fuels,Engineering Enzymes in Energy Crops,Pivot,
OPEN 2009,Algaeventure Systems (AVS),ALUMNI,For-profit,1/15/10,1/31/12,Transportation Fuels,Fuel from Algae,Perish,Energy to pharmaceuticals
OPEN 2009,Arizona State University (ASU),ALUMNI,Non-profit,12/21/09,6/30/12,Transportation Storage,Metal-Air Electric Vehicle Battery,Pivot,"Not EV batteries, mostly off-grid"
OPEN 2009,Arizona State University (ASU),ALUMNI,Non-profit,1/1/10,6/30/13,Transportation Fuels,Turning Bacteria into Fuel,Pivot,"Some of the project people still doing stuff with the same bacteria, but focusing on growth, no recent publications/other grants on extraction or harvesting this specific type of lauric acid"
OPEN 2009,Bio Architecture Lab,ALUMNI,For-profit,4/30/12,6/30/13,Transportation Fuels,Macroalgae Butanol,Perish,
OPEN 2009,Ceres,ALUMNI,For-profit,1/1/10,12/31/13,Transportation Fuels,Improving Biomass Yields,Perish,Acquired by land o lakes
OPEN 2009,Delphi Automotive Systems,ALUMNI,For-profit,2/1/10,12/31/13,Electrical Efficiency,More Efficient Power Conversion for EVs,Persist,
OPEN 2009,Envia Systems,ALUMNI,For-profit,1/1/10,12/31/11,Transportation Storage,Long-Range Electric Vehicle Batteries,Perish,
OPEN 2009,Exelus,ALUMNI,For-profit,12/1/09,5/31/12,Transportation Fuels,High-Octane Fuel from Refinery Exhaust Gas,Persist,They licensed the technology to KBR
OPEN 2009,FastCAP Systems,ALUMNI,For-profit,4/1/10,12/31/13,Transportation Storage,High Energy Density Ultracapacitors,Pivot,
OPEN 2009,FloDesign Wind Turbine,ALUMNI,For-profit,2/22/10,3/31/13,Distributed Generation,Mixer-Ejector Wind Turbine,Perish,
OPEN 2009,Foro Energy,ALUMNI,For-profit,1/15/10,9/30/13,Centralized Generation,Laser-Mechanical Drilling for Geothermal Energy,Persist,
