,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder3,coder1notes,coder3notes
0,ADMA Products,"ADMA Products is developing a foil-like membrane for air conditioners that efficiently removes moisture from humid air. ADMA Products' metal foil-like membrane consists of a paper-thin, porous metal sheet coated with a layer of water-loving molecules. This new membrane allows water vapor to permeate across the membrane at high fluxes, at the same time blocking air penetration and resulting in high selectivity. The high selectivity of the membrane translates to less energy use, while the high permeation fluxes result in a more compact device. The new materials and the flat foil-like nature of the membrane facilitate the mass production of a low-cost compact dehumidification device. ADMA received a separate award of up to $466,176 from the Department of the Navy to help decrease military fuel use.
",2014-07-31,BEETIT,ALUMNI,?q=slick-sheet-project/membrane-dehumidifier,2010-09-01,Ohio,Membrane Dehumidifier,Building Efficiency, ,3380389,0.0,For-profit,Pivot,Persist,"Make the material, but limited product development",also operates in other markets
1,Alliant Techsystems (ATK),"Researchers at Alliant Techsystems (ATK) and ACENT Laboratories are developing a device that relies on aerospace wind-tunnel technologies to turn CO<sub>2</sub> into a condensed solid for collection and capture. ATK's design incorporates a special nozzle that converges and diverges to expand flue gas, thereby cooling it off and turning the CO<sub>2</sub> into solid particles which are removed from the system by a cyclonic separator. This technology is mechanically simple, contains no moving parts and generates no chemical waste, making it inexpensive to construct and operate, readily scalable, and easily integrated into existing facilities. The increase in the cost to coal-fired power plants associated with introduction of this system would be 50% less than current technologies.

",2013-06-30,IMPACCT,ALUMNI,?q=slick-sheet-project/supersonic-technology-co2-capture,2010-07-01,Minnesota,Supersonic Technology for CO2 Capture,Resource Efficiency, ,2683040,0.0,For-profit,Perish,Persist,Bought by northrup grumman,https://www.osti.gov/biblio/1394653
2,Ames National Laboratory,"Ames Laboratory is developing a new class of permanent magnets based on the more commonly available element cerium for use in both EVs and renewable power generators. Cerium is 4 times more abundant and significantly less expensive than the rare earth element neodymium, which is frequently used in today's most powerful magnets. Ames Laboratory will combine other metal elements with cerium to create a new magnet that can remain stable at the high temperatures typically found in electric motors. This new magnetic material will ultimately be demonstrated in a prototype electric motor, representing a cost-effective and efficient alternative to neodymium-based motors.
",2015-05-31,REACT,ALUMNI,?q=slick-sheet-project/cerium-based-magnets,2012-01-01,Iowa,Cerium-Based Magnets,Resource Efficiency, ,3035358,0.0,Non-profit,Perish,Persist,,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201404892
3,Architectural Applications (A2),"Architectural Applications (A2) is developing a building moisture and heat exchange technology that leverages a new material and design to create healthy buildings with lower energy use. Commercial building owners/operators are demanding buildings with greater energy efficiency and healthier indoor environments. A2 is developing a membrane-based heat and moisture exchanger that controls humidity by transferring the water vapor in the incoming fresh air to the drier air leaving the building. Unlike conventional systems, A2 locates the heat and moisture exchanger within the depths of the building's wall to slow down the air flow and increase the surface area that captures humidity, but with less fan power. The system's integration into the wall reduces the size and demand on the air conditioning equipment and increases liable floor area flexibility.
",2011-10-14,BEETIT,ALUMNI,?q=slick-sheet-project/energy-efficient-building-ventilation-systems,2010-10-15,Oregon,Energy Efficient Building Ventilation Systems,Building Efficiency, ,458251,0.0,For-profit,Pivot,Persist,"Were doing pilots, can't find really recent info",
4,Arizona State University (ASU),"Arizona State University (ASU) is developing an innovative electrochemical technology for capturing the CO<sub>2</sub> released by coal-fired power plants. ASU's technology aims to cut both the energy requirements and cost of CO<sub>2</sub> capture technology in half compared to today's best methods. Presently, the only proven commercially viable technology for capturing CO<sub>2</sub> from coal plants uses a significant amount of energy, consuming roughly 40% of total power plant output. If installed today, this technology would increase the cost of electricity production by 85%. ASU is advancing a fundamentally new paradigm for CO<sub>2</sub> capture using novel electrochemical reactants to separate and capture CO<sub>2</sub>. This process could be easily scaled and integrated in conventional fossil fuel power generation facilities.
",2017-02-28,OPEN 2012,ALUMNI,?q=slick-sheet-project/electrochemical-carbon-capture,2013-03-12,Arizona,Electrochemical Carbon Capture,Resource Efficiency, ,3471515,1.0,Non-profit,Pivot,Persist,"not terribly out of date research, but has tried several different chemistries over time",https://sms.asu.edu/node/854
5,Astronautics Corporation of America,"Astronautics Corporation of America is developing an air conditioning system that relies on magnetic fields. Typical air conditioners use vapor compression to cool air. Vapor compression uses a liquid refrigerant to circulate within the air conditioner, absorb the heat, and pump the heat out into the external environment. Astronautics' design uses a novel property of certain materials, called ""magnetocaloric materials"", to achieve the same result as liquid refrigerants. These magnetocaloric materials essentially heat up when placed within a magnetic field and cool down when removed, effectively pumping heat out from a cooler to warmer environment. In addition, magnetic refrigeration uses no ozone-depleting gases and is safer to use than conventional air conditioners, which are prone to leaks.
",2014-04-30,BEETIT,ALUMNI,?q=slick-sheet-project/air-conditioning-magnetic-refrigeration,2010-09-01,Wisconsin,Air Conditioning with Magnetic Refrigeration,Building Efficiency, ,2889676,0.0,For-profit,Pivot,Perish,Couldn't find anything on their website about refrigeration/cooling products,"not a current tech on website, although they may be using something in an aviation"
6,Baldor Electric Company,"Baldor Electric Company is developing a new type of traction motor with the potential to efficiently power future generations of EVs. Unlike today's large, bulky EV motors which use expensive, imported rare-earth-based magnets, Baldor's motor could be light, compact, contain no rare earth materials, and have the potential to deliver more torque at a substantially lower cost. Key innovations in this project include the use of a unique motor design, incorporation of an improved cooling system, and the development of advanced materials manufacturing techniques. These innovations could significantly reduce the cost of an electric motor.
",2015-02-15,REACT,ALUMNI,?q=slick-sheet-project/rare-earth-free-traction-motor,2012-01-31,South Carolina,Rare-Earth-Free Traction Motor,Resource Efficiency, ,3042556,0.0,For-profit,Perish,Persist,website not working,https://www.electriccarpartscompany.com/Baldor-EV-Motors-TEMR-50-HP
7,California Institute of Technology (Caltech),"The California Institute of Technology (Caltech) is developing a distributed automation system that allows distributed generators--solar panels, wind farms, thermal co-generation systems--to effectively manage their own power. To date, the main stumbling block for distributed automation systems has been the inability to develop software that can handle more than 100,000 distributed generators and be implemented in real time. Caltech's software could allow millions of generators to self-manage through local sensing, computation, and communication. Taken together, localized algorithms can support certain global objectives, such as maintaining the balance of energy supply and demand, regulating voltage and frequency, and minimizing cost. An automated, grid-wide power control system would ease the integration of renewable energy sources like solar power into the grid by quickly transmitting power when it is created, eliminating the energy loss associated with the lack of renewable energy storage capacity of the grid.
",2015-06-01,GENI,ALUMNI,?q=slick-sheet-project/scalable-distributed-automation-system,2012-03-01,California,Scalable Distributed Automation System,Grid, ,1345817,0.0,Non-profit,Pivot,Persist,"Using algorithm for EV/storage research questions, but patents not licensed",
8,Case Western Reserve University,"Case Western Reserve University is developing a highly magnetic iron-nitride alloy to use in the magnets that power electric motors found in EVs and renewable power generators. This would reduce the overall price of the motor by eliminating the expensive imported rare earth minerals typically found in today's best commercial magnets. The iron-nitride powder is sourced from abundant and inexpensive materials found in the U.S. The ultimate goal of this project is to demonstrate this new magnet system, which contains no rare earths, in a prototype electric motor. This could significantly reduce the amount of greenhouse gases emitted in the U.S. each year by encouraging the use of clean alternatives to oil and coal.
",2015-06-30,REACT,ALUMNI,?q=slick-sheet-project/iron-nitride-alloy-magnets,2012-01-01,Ohio,Iron-Nitride Alloy Magnets,Resource Efficiency, ,1849652,0.0,Non-profit,Perish,Persist,"Can't find recent materials research, mostly systems-level wind stuff",
9,Codexis,"Codexis is developing new and efficient forms of enzymes known as carbonic anhydrases to absorb CO<sub>2</sub> more rapidly and under challenging conditions found in the gas exhaust of coal-fired power plants. Carbonic anhydrases are common and are among the fastest enzymes, but they are not robust enough to withstand the harsh environment found in the power plant exhaust steams. In this project, Codexis will be using proprietary technology to improve the enzymes' ability to withstand high temperatures and large swings in chemical composition. The project aims to develop a carbon-capture process that uses less energy and less equipment than existing approaches. This would reduce the cost of retrofitting today's coal-fired power plants.
",2012-06-30,IMPACCT,ALUMNI,?q=slick-sheet-project/better-enzymes-carbon-capture,2010-07-01,California,Better Enzymes for Carbon Capture,Resource Efficiency, ,4657045,0.0,For-profit,Pivot,Persist,,https://www.pnas.org/content/111/46/16436.short
10,Colorado School of Mines,"The Colorado School of Mines will develop a new method for the high-throughput discovery and screening of thermoelectric materials. The objective is to develop a new class of thermoelectric materials that can enable heat-to-electricity efficiencies greater than 20%. Aerosol spray deposition will be used to collect particles on the solid surfaces, allowing high throughput synthesis with finely tuned composition control. To achieve the thermoelectric performance desired, a tight feedback loop between synthesis, characterization, and theory will be employed to actively guide the design of experiments. To identify materials with high mobility and low thermal conductivity, the team developed metrics that combine experimental and computational training data. These efforts are guided by the team's existing high-throughput calculation database, which has identified specific families of previously unexplored materials with high potential for thermoelectric performance. Over the last two years, these computational methods have been applied to 10,000 compounds, yielding the most extensive database of thermoelectric performance in the world. By considering thousands of compositions within a single structural family, trends in electronic and thermal conductivity emerge that could not have been predicted from a few samples produced with traditional bulk ceramic methods. High-throughput search techniques are particularly critical because the desired qualities are likely to only occur within a narrow chemical composition. The team expects to grow and characterize more than 20 macroscopic samples per day, a significant increase in throughput compared to conventional approaches.

",2018-09-12,IDEAS,ALUMNI,?q=slick-sheet-project/thermoelectric-materials-discovery,2017-03-13,Colorado,Thermoelectric Materials Discovery,Resource Efficiency, ,500000,1.0,Non-profit,Pivot,Persist,,
