,companies,tagline,program,startDate,endDate,projectStatus,state,description,techCat1,techCat2,projecturl,companyCopy
2,24M Technologies ,Lithium Electrode Sub-Assemblies,IONICS,01/03/2017,07/02/2020,ACTIVE,Massachusetts,"24M Technologies will lead a team to develop low cost, durable, enhanced separators/solid state electrolytes to build batteries using a lithium metal anode. Using a polymer/solid electrolyte ceramic blend, 24M will be able to make a protective layer that will help eliminate side reactions that have previously contributed to performance degradation and provide a robust mechanical barrier to branchlike metal fibers called dendrites. Unimpeded, dendrites can grow to span the space between the negative and positive electrodes, causing a short-circuit. The resulting, large-area lithium electrode sub-assemblies, or LESAs, will be cost-effective solutions that are scalable to high-volume manufacturing while providing a toolbox to further tailor electrode performance.

","iv></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term: </div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2017-01-03T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">01/03/2017</span> to <span class=""date-display-end"" content=""2020-07-02T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">07/02/2020</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status: </div><div class=""field-items""><div class=""field-item even"">ACTIVE</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State: </div><div class=""field-items""><div class=""field-item even"">Massachusetts</div></div></div></div>
</div", ,?q=slick-sheet-project/lithium-electrode-sub-assemblies,24M Technologies
4,3M,Passive Radiative Cooling Film,OPEN 2018,08/26/2019,08/25/2022,ACTIVE,Minnesota,"3M will develop a film that passively radiates heat away from an engineered surface for use in cooling applications. Using a unique, weather resistant polymer composition, the team will improve the film's ability to reflect sunlight and ultraviolet (UV) light, thus boosting performance while also increasing its lifespan. This film builds upon radiative cooling technology developed in prior ARPA-E awards to Stanford University and SkyCool Systems, a partner in this project. These cooling films are aimed at reducing electricity consumption for air conditioning, refrigeration systems, transportation, and data centers.
",Building Efficiency, ,?q=slick-sheet-project/passive-radiative-cooling-film,3M
6,ABB,Magnetic Energy Storage System,GRIDS,10/01/2010,06/30/2014,ALUMNI,North Carolina,"ABB is developing an advanced energy storage system using superconducting magnets that could store significantly more energy than today's best magnetic storage technologies at a fraction of the cost. This system could provide enough storage capacity to encourage more widespread use of renewable power like wind and solar. Superconducting magnetic energy storage systems have been in development for almost 3 decades; however, past devices were designed to supply power only for short durations--generally less than a few minutes. ABB's system would deliver the stored energy at very low cost, making it ideal for eventual use in the electricity grid as a cost-effective competitor to batteries and other energy storage technologies. The device could potentially cost even less, on a per kilowatt basis, than traditional lead-acid batteries.
",Storage, ,?q=slick-sheet-project/magnetic-energy-storage-system,ABB
12,Achates Power,"Highly-Efficient Opposed Piston Engine For Hybrid Vehicles (""HOPE-Hybrid"")",OPEN 2018,01/28/2019,07/27/2020,ACTIVE,California,"Achates Power will develop an opposed-piston engine suitable for hybrid electric vehicle applications. The team will use a unique gasoline compression ignition design that minimizes energy losses (e.g., heat transfer) typical in conventional internal combustion engines. A motor-generator integrated on each engine crankshaft will provide independent control to each piston and eliminate all torque transmitted across the crankshaft connection, thus reducing engine size, mass, cost, friction, and noise. Engine efficiency improvement is expected through this real-time control of the combustion process. The proposed technology has the potential to offer manufacturers a full-range of cost-effective solutions to improve vehicle efficiency and reduce CO<sub>2</sub> emissions.A highly efficient hybrid opposed-piston engine can be easily integrated in the existing fueling infrastructure and offers the power and convenience that U.S. consumers demand.
",Transportation Energy Conversion, ,?q=slick-sheet-project/highly-efficient-opposed-piston-engine-hybrid-vehicles-hope-hybrid,Achates Power
28,American Superconductor (AMSC),Sustainable Economic mCHP Stirling (SEmS) Generator,GENSETS,11/30/2015,10/31/2019,ALUMNI,Massachusetts,"American Superconductor (AMSC) in collaboration with team members Qnergy, Alcoa Howmet, Gas Technology Institute (GTI), MicroCogen Partners, and A.O. Smith Corporation will develop a Free-Piston Stirling engine (FPSE) powered by an ultra-low-emissions natural gas burner for micro-CHP applications. A Stirling engine uses a working gas housed in a sealed environment, in this case the working gas is helium. When heated by the natural gas-fueled burner, the gas expands causing a piston to move and interact with a linear alternator to produce electricity. As the gas cools and contracts, the process resets before repeating again. Advanced Stirling engines endeavor to carefully manage heat inside the system to make the most efficient use of the natural gas energy. The ITC design features free-piston architecture using flexure bearings thus eliminating rubbing parts and allowing for long system life under continuous use. The team will also develop novel materials that enable high-temperature engine operation, further increasing the efficiency of the system.

",Distributed Energy Resources, ,?q=slick-sheet-project/sustainable-economic-mchp-stirling-sems-generator,American Superconductor (AMSC)
33,Applied Materials,New Electrode Manufacturing Process Equipment,BEEST,07/01/2010,09/30/2013,ALUMNI,California,"Applied Materials is developing new tools for manufacturing Li-Ion batteries that could dramatically increase their performance. Traditionally, the positive and negative terminals of Li-Ion batteries are mixed with glue-like materials called binders, pressed onto electrodes, and then physically kept apart by winding a polymer mesh material between them called a separator. With the Applied Materials system, many of these manually intensive processes will be replaced by next generation coating technology to apply each component. This process will improve product reliability and performance of the cells at a fraction of the current cost. These novel manufacturing techniques will also increase the energy density of the battery and reduce the size of several of the battery's components to free up more space within the cell for storage.
",Transportation Storage, ,?q=slick-sheet-project/new-electrode-manufacturing-process-equipment,Applied Materials
39,Argonne National Laboratory (ANL),Transparent Nanofoam Polymer,SHIELD,01/12/2017,01/11/2020,CANCELLED,Illinois,"Argonne National Laboratory (ANL) with its partners will develop a transparent nanofoam polymer that can be incorporated into a window film/coating for single-pane windows. The transparent polymer-nanoparticle composite will be applied to glass, and will improve the thermal insulation and the soundproofing of a window. Key to this technology is the generation of small and hollow nanometer-sized particles with thin shells. These will be embedded in a polymer with a carefully controlled structure and uniform dispersal of nanoshells in the polymer matrix. Competing approaches such as those used for silica aerogels have limited ability to fine tune the material's structure, resulting in materials with weaker mechanical strength, difficulties with transparency, and high processing costs. ANL will develop materials fabricated with self-assembly and a level of precision that allows careful prediction of how light and heat transmit through the material. The team also plans to introduce ultrasound-enhanced continuous processing techniques to manufacture the nanofoam at low cost and with high transparency without undesired haze and enhanced sound isolation capabilities. ANL predicts that the technology will enable an inexpensive window film that can be installed by the homeowner to upgrade a single-glazed window to double-glazed performance at about 25% of the cost.

",Building Efficiency, ,?q=slick-sheet-project/transparent-nanofoam-polymer,Argonne National Laboratory (ANL)
40,Argonne National Laboratory (ANL),Exchange-Spring Magnets,REACT,01/01/2012,09/30/2015,ALUMNI,Illinois,"Argonne National Laboratory (ANL) is developing a cost-effective exchange-spring magnet to use in the electric motors of wind generators and EVs that uses no rare earth materials. This ANL exchange-spring magnet combines a hard magnetic outer shell with a soft magnetic inner core--coupling these together increases the performance (energy density and operating temperature). The hard and soft magnet composite particles would be created at the molecular level, followed by consolidation in a magnetic field. This process allows the particles to be oriented to maximize the magnetic properties of low-cost and abundant metals, eliminating the need for expensive imported rare earths. The ultimate goal of this project is to demonstrate this new type of magnet in a prototype electric motor.

",Resource Efficiency, ,?q=slick-sheet-project/exchange-spring-magnets,Argonne National Laboratory (ANL)
42,Arizona State University (ASU),Multifunctional Cells for Electric Vehicles,RANGE,11/25/2013,12/31/2015,ALUMNI,Arizona,"Arizona State University (ASU) is developing an innovative, formable battery that can be incorporated as a structural element in the vehicle. This battery would replace structural elements such as roof and side panels that previously remained passive, and incapable of storing energy. Unlike today's batteries that require significant packaging and protection, ASU's non-volatile chemistry could better withstand collision on its own because the battery would be more widely distributed throughout the vehicle so less electricity would be stored in any single area. Furthermore, ASU's battery would not use any flammable components or high-voltage modules. The chemistry minimizes conventional protection and controls while enabling it to store energy and provide structure, thus making vehicles lighter and safer.
",Transportation Storage, ,?q=slick-sheet-project/multifunctional-cells-electric-vehicles,Arizona State University (ASU)
43,Arizona State University (ASU),Turning Bacteria into Fuel,OPEN 2009,01/01/2010,06/30/2013,ALUMNI,Arizona,"Arizona State University (ASU) is engineering a type of photosynthetic bacteria that efficiently produce fatty acids--a fuel precursor for biofuels. This type of bacteria, called Synechocystis, is already good at converting solar energy and carbon dioxide (CO<sub>2</sub>) into a type of fatty acid called lauric acid. ASU has modified the organism so it continuously converts sunlight and CO<sub>2</sub> into fatty acids--overriding its natural tendency to use solar energy solely for cell growth and maximizing the solar-to-fuel conversion process. ASU's approach is different because most biofuels research focuses on increasing cellular biomass and not on excreting fatty acids. The project has also identified a unique way to convert the harvested lauric acid into a fuel that can be easily blended with existing transportation fuels.

",Transportation Fuels, ,?q=slick-sheet-project/turning-bacteria-fuel,Arizona State University (ASU)
